session_title,slug,session_id,begins_at,ends_at,place,vimeo_event_id,vimeo_video_id,caption_label,vtt_chars,text_chars,status,crawled_at
Innovative Treatment Modalities: Shaping the Future of Oncology,innovative-treatment-modalities-shaping-the-future-of-oncology,,2026-04-22T08:00:00-07:00,2026-04-22T10:00:00-07:00,Ballroom 20,5841780,1179383811,English (auto-generated),157871,91182,ok,2026-06-11T04:43:27.512139Z
"Senescence in Cancer: Identifying, Measuring, and Targeting a Double-Edged Sword",senescence-in-cancer-identifying-measuring-and-targeting-a-double-edged-sword,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Room 30,5842038,1179385529,English (auto-generated),129800,76611,ok,2026-06-11T04:43:32.136958Z
Targeted Alpha- and Beta-Emitter Radiopharmaceuticals: Multidisciplinary Precision Radiation Medicine,targeted-alpha-and-beta-emitter-radiopharmaceuticals-multidisciplinary-precision,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Room 33,5841961,1179385057,English (auto-generated),143773,85960,ok,2026-06-11T04:43:36.964707Z
"The AACR Project GENIE® Data Model: A Foundation for Scalable, Structured Data Collection to Support the Precision Oncology Revolution",the-aacr-project-genie-data-model-a-foundation-for-scalable-structured-data-coll,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Room 31,5842011,1179385319,English (auto-generated),129085,73304,ok,2026-06-11T04:43:43.609088Z
"The Impact of Lifestyle, Diet, and the Microbiome on Cancer Onset and Spread",the-impact-of-lifestyle-diet-and-the-microbiome-on-cancer-onset-and-spread,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Ballroom 6 DE,5841850,1179383917,English (auto-generated),129403,70900,ok,2026-06-11T04:43:48.462339Z
Unraveling the Role of Extrachromosomal DNA in Cancer Evolution and Therapy Response,unraveling-the-role-of-extrachromosomal-dna-in-cancer-evolution-and-therapy-resp,,2026-04-18T08:00:00-07:00,2026-04-18T09:30:00-07:00,Ballroom 6 A,5841810,1179383853,English (auto-generated),135764,82575,ok,2026-06-11T04:43:54.595125Z
"Opening Plenary. Precision, Partnership, Purpose: Advancing Cancer Science to Save Lives Globally",opening-plenary-precision-partnership-purpose-advancing-cancer-science-to-save-l,,2026-04-19T09:30:00-07:00,2026-04-19T11:30:00-07:00,Hall H,5841865,1179383954,English (auto-generated),191188,114275,ok,2026-06-11T04:44:02.060966Z
AACR-Bayard D. Clarkson Symposium on Plasticity and Cancer Progression: Mechanisms and Consequences,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Ballroom 6 CF,5841842,1179383902,English (auto-generated),126885,76030,ok,2026-06-11T04:44:08.966421Z
"Academic Entrepreneurship: Getting Your Discovery to Patients, Part 2— Preparing for a Perfect Landing",academic-entrepreneurship-getting-your-discovery-to-patients-part-2-preparing-fo,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Room 11,5842014,1179385330,English (auto-generated),140929,81800,ok,2026-06-11T04:44:18.015254Z
Addressing Cancer Mortality in Areas of Persistent Poverty,addressing-cancer-mortality-in-areas-of-persistent-poverty,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Room 5,5841946,1179384929,English (auto-generated),130219,75482,ok,2026-06-11T04:44:24.591872Z
Advances in Glioblastoma Research and Experimental Therapies,advances-in-glioblastoma-research-and-experimental-therapies,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Room 15,5841939,1179384862,English (auto-generated),138771,84402,ok,2026-06-11T04:44:32.257133Z
Advances in Immunotherapy,advances-in-immunotherapy,,2026-04-21T10:15:00-07:00,2026-04-21T12:15:00-07:00,Hall H,5841872,1179383965,English (auto-generated),163281,92452,ok,2026-06-11T04:44:39.803075Z
Advances in Minimal Residual Disease Detection via Circulating Tumor DNA,advances-in-minimal-residual-disease-detection-via-circulating-tumor-dna,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Ballroom 6 A,5841829,1179383880,English (auto-generated),137765,81458,ok,2026-06-11T04:44:47.604170Z
Advancing Patient-Centered Clinical Trials: Bringing Trials to Patients and Patients to Trials,advancing-patient-centered-clinical-trials-bringing-trials-to-patients-and-patie,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Room 1,5841874,1179383969,English (auto-generated),168031,98678,ok,2026-06-11T04:44:54.444062Z
Agentic AI as the Cancer Researcher: Autonomous Discovery in Oncology,agentic-ai-as-the-cancer-researcher-autonomous-discovery-in-oncology,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Ballroom 20 AB,5841793,1179383827,English (auto-generated),132110,77049,ok,2026-06-11T04:45:01.887189Z
Agentic AI as the Oncologist: Clinical Decision Support and Human-AI Collaboration,agentic-ai-as-the-oncologist-clinical-decision-support-and-human-ai-collaboratio,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Ballroom 6 B,5841839,1179383897,English (auto-generated),125787,72022,ok,2026-06-11T04:45:08.344026Z
Aneuploidy and Mutations in Normal Tissues and Their Role in Cancer Initiation and Cancer Risk,aneuploidy-and-mutations-in-normal-tissues-and-their-role-in-cancer-initiation-a,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Room 5,5841920,1179384724,English (auto-generated),139787,81913,ok,2026-06-11T04:45:15.113772Z
Bayesian and Model-Assisted Designs for Early-Phase Clinical Trials: Simplicity Meets Efficiency,bayesian-and-model-assisted-designs-for-early-phase-clinical-trials-simplicity-m,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Room 5,5841924,1179384745,English (auto-generated),128685,74178,ok,2026-06-11T04:45:21.871898Z
Beyond Sex: The Y Chromosome in Cancer,beyond-sex-the-y-chromosome-in-cancer,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Room 29,5841954,1179384987,English (auto-generated),130877,74293,ok,2026-06-11T04:45:28.374509Z
Biology and Therapeutic Targeting of HIF2a in Renal Cell Carcinoma,biology-and-therapeutic-targeting-of-hif2a-in-renal-cell-carcinoma,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Room 15,5841914,1179384636,English (auto-generated),133690,81545,ok,2026-06-11T04:45:38.189691Z
"Biology, Mechanisms, and Models of Cachexia",biology-mechanisms-and-models-of-cachexia,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Room 31,5841984,1179385154,English (auto-generated),119782,69250,ok,2026-06-11T04:45:45.738419Z
"Cancer Cachexia: Tumor Signals, Systemic Impact, and Translational Opportunities",cancer-cachexia-tumor-signals-systemic-impact-and-translational-opportunities,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Room 17,5841904,1179384558,English (auto-generated),149806,90389,ok,2026-06-11T04:45:52.615536Z
Cancer Detection and Interception Across Tumor Types: Addressing Modifiable Risk Factors for Early Action,cancer-detection-and-interception-across-tumor-types-addressing-modifiable-risk-,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Ballroom 6 A,5841815,1179383860,English (auto-generated),127771,73106,ok,2026-06-11T04:45:59.189298Z
Cellular Therapies and Complex Immunotherapies,cellular-therapies-and-complex-immunotherapies,,2026-04-20T10:15:00-07:00,2026-04-20T12:15:00-07:00,Hall H,5841870,1179383961,English (auto-generated),182085,108653,ok,2026-06-11T04:46:06.323976Z
Chemistry to the Clinic Part 2 of 4: Beyond Inhibition—The Next Frontier in Proximity-Inducing Therapies,chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Ballroom 20 CD,5841800,1179383838,English (auto-generated),138015,82516,ok,2026-06-11T04:46:12.843763Z
"Chromatin, Epigenetics, and Cancer: Dedicated to the Memory of James D. Watson",chromatin-epigenetics-and-cancer-dedicated-to-the-memory-of-james-d-watson,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Ballroom 6 DE,5841860,1179383943,English (auto-generated),122936,73527,ok,2026-06-11T04:46:19.206806Z
Clonal Hematopoiesis: Aging and Drivers of Blood Cancer and Solid Tumors,clonal-hematopoiesis-aging-and-drivers-of-blood-cancer-and-solid-tumors,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Room 30,5842036,1179385520,English (auto-generated),138985,81548,ok,2026-06-11T04:46:27.180783Z
Decoding Cancer’s Complex Ecosystem: The Pathology of Tumor Microenvironment and Heterogeneity,decoding-cancers-complex-ecosystem-the-pathology-of-tumor-microenvironment-and-h,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Ballroom 6 DE,5841857,1179383937,English (auto-generated),135525,79096,ok,2026-06-11T04:46:38.100460Z
Dharma Master Jiantai Advances in Lung Cancer Research Session: Small Cell Lung Cancers (SCLC) and Neuroendocrine Cancers (NECs),dharma-master-jiantai-advances-in-lung-cancer-research-session-small-cell-lung-c,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Ballroom 6 B,5841826,1179383874,English (auto-generated),135451,79354,ok,2026-06-11T04:46:48.534292Z
DNA Damage Response and Synthetic Lethality in Cancer,dna-damage-response-and-synthetic-lethality-in-cancer,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Room 31,5842035,1179385516,English (auto-generated),111531,63592,ok,2026-06-11T04:46:55.239726Z
Epistasis and Evolution: How Genetic Interactions Shape Cancer Trajectories,epistasis-and-evolution-how-genetic-interactions-shape-cancer-trajectories,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Room 33,5842006,1179385265,English (auto-generated),142405,83547,ok,2026-06-11T04:47:02.126190Z
Exploiting Cancer Evolution for Clinical Impact,exploiting-cancer-evolution-for-clinical-impact,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Room 28,5841891,1179384416,English (auto-generated),137995,83366,ok,2026-06-11T04:47:09.160166Z
From Data Commons to Knowledge Engine: AI Enablement Across CRDC and CCDI,from-data-commons-to-knowledge-engine-ai-enablement-across-crdc-and-ccdi,,2026-04-20T10:15:00-07:00,2026-04-20T11:15:00-07:00,Room 2,5842013,1179385328,English (auto-generated),90288,52651,ok,2026-06-11T04:47:16.525812Z
From Mechanisms to Real-World Evidence: The Emerging Role of GLP-1 Receptor Agonists in Cancer Prevention and Outcomes,from-mechanisms-to-real-world-evidence-the-emerging-role-of-glp-1-receptor-agoni,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Ballroom 6 B,5841822,1179383871,English (auto-generated),137125,79431,ok,2026-06-11T04:47:22.985649Z
Genetic and Environmental Determinants of Cancer,genetic-and-environmental-determinants-of-cancer,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Room 33,5841916,1179384671,English (auto-generated),136147,79533,ok,2026-06-11T04:47:29.179091Z
Harnessing the Power of the Immune System: Turning Cold Tumors Hot,harnessing-the-power-of-the-immune-system-turning-cold-tumors-hot,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Ballroom 6 CF,5841848,1179383914,English (auto-generated),127377,74260,ok,2026-06-11T04:47:36.317864Z
HPV Vaccination and Self-Sampling for Cervical Cancer Prevention and Early Detection Globally and in Underserved Settings,hpv-vaccination-and-self-sampling-for-cervical-cancer-prevention-and-early-detec,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Room 5,5841930,1179384785,English (auto-generated),132110,76775,ok,2026-06-11T04:47:42.830339Z
Immune-Genomic Mechanisms and Treatment of Peritoneal Metastases,immune-genomic-mechanisms-and-treatment-of-peritoneal-metastases,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Room 16,5841933,1179384789,English (auto-generated),126619,75194,ok,2026-06-11T04:47:52.958417Z
Immunometabolism in Cancer,immunometabolism-in-cancer,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Room 29,5841926,1179384747,English (auto-generated),141770,84873,ok,2026-06-11T04:47:59.582299Z
Induced Proximity Pharmacology: Degraders and Beyond,induced-proximity-pharmacology-degraders-and-beyond,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Ballroom 6 CF,5841855,1179383930,English (auto-generated),125320,73355,ok,2026-06-11T04:48:06.325704Z
Latest Advances in Translational Research from the 2025 San Antonio Breast Cancer Symposium,latest-advances-in-translational-research-from-the-2025-san-antonio-breast-cance,,2026-04-21T10:15:00-07:00,2026-04-21T11:40:00-07:00,Room 30,5841949,1179384954,English (auto-generated),122153,73680,ok,2026-06-11T04:48:13.171288Z
Mapping Neural-Immune Circuits: Spatial Multi-Omics in the Tumor Microenvironment,mapping-neural-immune-circuits-spatial-multi-omics-in-the-tumor-microenvironment,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Ballroom 6 CF,5841838,1179383895,English (auto-generated),158492,96153,ok,2026-06-11T04:48:28.549483Z
Metastatic Organotropism: Clues from Primary Tumors and Metastatic Niches,metastatic-organotropism-clues-from-primary-tumors-and-metastatic-niches,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Room 30,5841884,1179384363,English (auto-generated),128154,68773,ok,2026-06-11T04:48:35.492166Z
Minorities in Cancer Research Scientific Symposium: Ancestry-Informed Precision Oncology—Integrating Genomic Diversity into Cancer Prevention and Treatment,minorities-in-cancer-research-scientific-symposium-ancestry-informed-precision-o,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Room 15,5841970,1179385091,English (auto-generated),125093,74424,ok,2026-06-11T04:48:42.293957Z
Mitochondrial Transfer Networks in Cancer Progression,mitochondrial-transfer-networks-in-cancer-progression,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Room 14,5841942,1179384868,English (auto-generated),124688,66462,ok,2026-06-11T04:48:51.087483Z
NCI/NIH Consortia Initiative: Metabolic Dysregulation and Cancer Risk Program—A Transdisciplinary Approach to Obesity-Associated Cancers,ncinih-consortia-initiative-metabolic-dysregulation-and-cancer-risk-programa-tra,,2026-04-21T10:15:00-07:00,2026-04-21T11:15:00-07:00,Room 2,5842000,1179385221,English (auto-generated),92356,50886,ok,2026-06-11T04:48:59.858469Z
New Advances in Bispecific Antibody Development,new-advances-in-bispecific-antibody-development,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Ballroom 20 CD,5841817,1179383862,English (auto-generated),136411,80882,ok,2026-06-11T04:49:11.738323Z
New Drugs on the Horizon: Part 3,new-drugs-on-the-horizon-part-3,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Ballroom 20 CD,5841806,1179383847,English (auto-generated),117507,66442,ok,2026-06-11T04:49:18.625268Z
Next-Generation Radioligand Therapy,next-generation-radioligand-therapy,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Room 33,5841913,1179384635,English (auto-generated),153056,93707,ok,2026-06-11T04:49:26.130051Z
Optimizing Efficacy While Limiting Toxicity in Immunotherapy for Cancer Treatment,optimizing-efficacy-while-limiting-toxicity-in-immunotherapy-for-cancer-treatmen,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Room 28,5841934,1179384799,English (auto-generated),137980,81803,ok,2026-06-11T04:49:34.010659Z
Pediatric Brain Tumors: Biology to Therapy,pediatric-brain-tumors-biology-to-therapy,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Room 11,5842016,1179385342,English (auto-generated),129347,78808,ok,2026-06-11T04:49:42.979309Z
Precision for All: Harnessing Multi-omic Technologies to Eliminate Cancer Inequalities,precision-for-all-harnessing-multi-omic-technologies-to-eliminate-cancer-inequal,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Room 11,5841955,1179384999,English (auto-generated),132617,78456,ok,2026-06-11T04:49:49.748229Z
Precision Liver Cancer Care Across the Continuum: From Prevention to Therapy,precision-liver-cancer-care-across-the-continuum-from-prevention-to-therapy,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Room 16,5841909,1179384604,English (auto-generated),128030,75214,ok,2026-06-11T04:49:57.823925Z
Presidential Select Symposium. Targeting Stage 0: Precision-Based Prevention,presidential-select-symposium-targeting-stage-0-precision-based-prevention,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Ballroom 6 A,5841819,1179383865,English (auto-generated),133418,78069,ok,2026-06-11T04:50:05.682441Z
Radioligand Therapy: Immunity and Biological Mechanisms,radioligand-therapy-immunity-and-biological-mechanisms,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Room 16,5842003,1179385239,English (auto-generated),118152,69964,ok,2026-06-11T04:50:12.081068Z
Reframing Gynecologic Cancer Prevention: From STIC Discovery to Salpingectomy —Translating the Fallopian Tube Paradigm into Ovarian Cancer Prevention,reframing-gynecologic-cancer-prevention-from-stic-discovery-to-salpingectomy-tra,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Room 14,5841983,1179385153,English (auto-generated),134947,80534,ok,2026-06-11T04:50:19.143038Z
Role of the Intestinal Microbiome in CAR T-Cell Therapy,role-of-the-intestinal-microbiome-in-car-t-cell-therapy,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Ballroom 20 AB,5841783,1179383815,English (auto-generated),135914,82030,ok,2026-06-11T04:50:26.359668Z
"Silent Lesions, Dynamic Niches: Harnessing the Stroma to Prevent Cancer Initiation",silent-lesions-dynamic-niches-harnessing-the-stroma-to-prevent-cancer-initiation,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Ballroom 6 DE,5841866,1179383955,English (auto-generated),128654,77049,ok,2026-06-11T04:50:33.868537Z
Single Cell Multi-omic Technologies for Resolving Genotype-Phenotype Relationships in Cancer,single-cell-multi-omic-technologies-for-resolving-genotype-phenotype-relationshi,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Ballroom 6 B,5841823,1179383873,English (auto-generated),125014,76713,ok,2026-06-11T04:50:41.045506Z
"Small Patients, Big Problems: Precision Medicine Approaches for Childhood Cancer",small-patients-big-problems-precision-medicine-approaches-for-childhood-cancer,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Room 28,5841998,1184384543,English (auto-generated),138799,86114,ok,2026-06-11T04:50:50.537785Z
Strengthening the Oncology Trial Ecosystem Through Operational and Regulatory Innovation,strengthening-the-oncology-trial-ecosystem-through-operational-and-regulatory-in,,2026-04-20T10:15:00-07:00,2026-04-20T11:45:00-07:00,Room 1,5842027,1179385418,English (auto-generated),133472,76159,ok,2026-06-11T04:50:59.453507Z
Structural Insights to Cancer Biology and Therapy,structural-insights-to-cancer-biology-and-therapy,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Room 28,5841969,1179385094,English (auto-generated),110060,65694,ok,2026-06-11T04:51:06.691193Z
"Synthetic Lethality in Oncology: Progress Made, Pitfalls Encountered, and the Path Forward",synthetic-lethality-in-oncology-progress-made-pitfalls-encountered-and-the-path-,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Room 31,5841938,1179384859,English (auto-generated),126893,73620,ok,2026-06-11T04:51:13.744079Z
Targeted Therapy Frontiers in Microsatellite-Stable Metastatic Colorectal Cancer,targeted-therapy-frontiers-in-microsatellite-stable-metastatic-colorectal-cancer,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Room 31,5841899,1179384484,English (auto-generated),102761,59292,ok,2026-06-11T04:51:20.510948Z
The Role of mRNA Translation Reprogramming in Cancer,the-role-of-mrna-translation-reprogramming-in-cancer,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Room 30,5841979,1179385148,English (auto-generated),117096,66247,ok,2026-06-11T04:51:29.918521Z
Translating Epidemiology to the Clinic: Aspirin for the Prevention and Treatment of Colorectal Cancer—Dedicated to the Memory of Thomas W. Kensler,translating-epidemiology-to-the-clinic-aspirin-for-the-prevention-and-treatment-,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Room 33,5841879,1179384031,English (auto-generated),117467,65822,ok,2026-06-11T04:51:38.558073Z
Tumor Immunology For Non Immunologists: Back to Basics,tumor-immunology-for-non-immunologists-back-to-basics,,2026-04-18T10:00:00-07:00,2026-04-18T11:30:00-07:00,Ballroom 20 AB,5841787,1179383820,English (auto-generated),154035,92768,ok,2026-06-11T04:51:46.685844Z
Tumor-secreted Factors: The Next Hallmark of Cancer?,tumor-secreted-factors-the-next-hallmark-of-cancer,,2026-04-21T10:15:00-07:00,2026-04-21T11:45:00-07:00,Room 29,5841956,1179385002,English (auto-generated),111464,66519,ok,2026-06-11T04:51:56.432883Z
Understanding the Impact of Mechanobiology on Tumor Evolution,understanding-the-impact-of-mechanobiology-on-tumor-evolution,,2026-04-22T10:15:00-07:00,2026-04-22T11:45:00-07:00,Room 29,5841971,1179385093,English (auto-generated),140371,83798,ok,2026-06-11T04:52:04.416964Z
Updates in Anticancer Immunotherapies,updates-in-anticancer-immunotherapies,,2026-04-18T10:00:00-07:00,2026-04-18T12:00:00-07:00,Ballroom 6 A,5841809,1179383851,English (auto-generated),141361,79186,ok,2026-06-11T04:52:16.191884Z
3D Tissue Imaging and Cancer,3d-tissue-imaging-and-cancer,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Room 28,5841985,1179385155,English (auto-generated),145125,89300,ok,2026-06-11T04:52:24.408219Z
AACR Annual Business Meeting of Members,aacr-annual-business-meeting-of-members,,2026-04-20T12:30:00-07:00,2026-04-20T13:45:00-07:00,Room 5,5841923,1179384744,English (auto-generated),102516,59404,ok,2026-06-11T04:52:31.248392Z
AACR Annual Meeting 2026 Highlights,aacr-annual-meeting-2026-highlights,,2026-04-22T12:10:00-07:00,2026-04-22T13:30:00-07:00,Ballroom 20,5841782,1179383814,English (auto-generated),124913,72732,ok,2026-06-11T04:52:38.142128Z
AACR Gertrude B. Elion Cancer Research Award Lecture,aacr-gertrude-b-elion-cancer-research-award-lecture,,2026-04-21T12:00:00-07:00,2026-04-21T12:30:00-07:00,Room 17,5841943,1179384869,English (auto-generated),46469,27949,ok,2026-06-11T04:52:44.231773Z
AACR Team Science Award Lecture,aacr-team-science-award-lecture,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Ballroom 6 DE,5845353,1179908188,English (auto-generated),125894,73635,ok,2026-06-11T04:52:51.909590Z
Advances in Melanoma Research and Treatment,advances-in-melanoma-research-and-treatment,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Room 33,5841987,1179385169,English (auto-generated),135986,78754,ok,2026-06-11T04:53:01.815192Z
Advancing Precision Approaches to Head and Neck Cancers,advancing-precision-approaches-to-head-and-neck-cancers,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Room 11,5842033,1179385514,English (auto-generated),113243,67182,ok,2026-06-11T04:53:10.487547Z
AI in Biomarker Discovery and Drug Development,ai-in-biomarker-discovery-and-drug-development,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Ballroom 20 AB,5841792,1179383828,English (auto-generated),131415,75850,ok,2026-06-11T04:53:17.329058Z
AI-Based Tissue Biomarkers in Cancer: Multimodal AI Across Scales,ai-based-tissue-biomarkers-in-cancer-multimodal-ai-across-scales,,,,,5841816,1179383861,,,,no_vtt_url,
Aiming for Cure: Perioperative Clinical Trials,aiming-for-cure-perioperative-clinical-trials,,2026-04-18T12:30:00-07:00,2026-04-18T14:30:00-07:00,Ballroom 6 A,5841808,1179383849,English (auto-generated),165006,94782,ok,2026-06-11T04:53:25.425938Z
Beyond Cardiotoxicity: How Cardiovascular Disease and Systemic Risk Factors Drive Tumorigenesis,beyond-cardiotoxicity-how-cardiovascular-disease-and-systemic-risk-factors-drive,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Room 5,5841978,1179385127,English (auto-generated),138188,81388,ok,2026-06-11T04:53:32.169691Z
"Beyond Genetics: Macroenvironmental and Microenvironmental Determinants of Cancer Risk, Disease Progression, and Treatment Response",beyond-genetics-macroenvironmental-and-microenvironmental-determinants-of-cancer,,2026-04-21T12:30:00-07:00,2026-04-21T14:00:00-07:00,Room 15,5841963,1179385063,English (auto-generated),125871,73607,ok,2026-06-11T04:53:40.265932Z
Bridging the Gap: Multilevel Strategies to Expand Access to Cancer Clinical Trials,bridging-the-gap-multilevel-strategies-to-expand-access-to-cancer-clinical-trial,,2026-04-18T12:30:00-07:00,2026-04-18T14:00:00-07:00,Room 31,5841948,1179384932,English (auto-generated),131276,76821,ok,2026-06-11T04:53:47.066585Z
