talk_id,session_title,talk_title,speaker_name,affiliation,role,tumor_types,clinical_stage,topic_categories,novelty_flag,moa_summary,key_findings,n_targets,n_clinical_data,n_combination_strategies,primary_metric,primary_value,primary_n,primary_population
cancer-vaccines-the-next-immunotherapy-breakthrough::griffin::2,Cancer Vaccines: The Next Immunotherapy Breakthrough,Mechanisms by which mRNA Vaccines Augment Response to Immune Checkpoint Blockade,Adam Griffin,MD Anderson Cancer Center,trainee,NSCLC; melanoma; osteosarcoma,phase_2,immunotherapy; cancer_vaccines; combination_therapy; translational; AI_ML,platform_technology,"The speaker proposes that mRNA vaccines, even those not targeting tumor antigens (like the COVID-19 vaccine), can sensitize tumors to ICI by triggering an MDA5-mediated surge in interferon alpha. This systemic interferon alpha activates myeloid cells (DCs and macrophages), which then prime anti-tumor T cells that infiltrate the tumor and secrete interferon gamma, leading to compensatory PD-L1 upregulation and subsequent sensitivity to PD-1 blockade.","Retrospective pan-tumor analysis showed patients receiving the COVID mRNA vaccine within 30 days prior to ICI had significantly longer survival. | In mouse models, the COVID vaccine sensitized B16-F0 and Lewis lung carcinoma to ICI via an interferon alpha-dependent mechanism. | Blocking interferon alpha completely abrogated the benefit of the COVID vaccine in mouse models. | The mRNA-LNP complex activates the MDA5 receptor, bypassing the TLR7 silencing provided by N1-methylpseudouridine. | Human data showed a 30% increase in tumor PD-L1 expression in patients vaccinated prior to biopsy. | A prospective Phase II/III trial is being planned to test this universal priming effect.",2,1,1,overall survival,significantly improved,not specified,NSCLC patients receiving COVID vaccine within 100 days of ICI
cancer-vaccines-the-next-immunotherapy-breakthrough::seder::3,Cancer Vaccines: The Next Immunotherapy Breakthrough,Optimizing Peptide Vaccines and Adoptive Cell Therapy through Stem-like T Cell Generation,Robert Seder,"Vaccine Research Center, NIH",academic_pi,colorectal cancer; melanoma; GI tumors,preclinical,cancer_vaccines; CAR_T; combination_therapy; translational; spatial_biology,platform_technology,"The speaker developed a nanoparticle peptide vaccine platform using a Toll 7/8 agonist and a cathepsin-cleavable linker to improve antigen solubility and cross-priming. IV administration of this vaccine induces stem-like CD8 T cells (TCF7+) and systemic type I interferon, which remodels the TME by depleting CHIL3+ monocytes. Furthermore, using a PI3K delta inhibitor during TIL expansion preserves T cell stemness, which, when combined with vaccination, leads to superior tumor control compared to effector-like cells.","IV administration of the nanoparticle vaccine induced stem-like CD8 T cells and systemic type I interferon, whereas subcutaneous administration induced effector cells and provided no protection. | Protection from IV vaccination was completely abrogated by depleting type I interferon, which specifically reduced a CHIL3+ monocyte population in the TME. | PI3K delta inhibition during T cell expansion preserved stem-like characteristics (TCF1+, CCR7+, CD62L+), which were significantly more effective in tumor regression when combined with vaccination. | Combination of stem-like ACT and vaccination led to massive immune infiltration and shifted the tumor transcriptome toward an interferon-gamma reactive state. | Blocking either interferon gamma or the interferon alpha/beta receptor completely abrogated the protection provided by stem-like ACT + vaccine.",3,0,2,,,,
cancer-vaccines-the-next-immunotherapy-breakthrough::balachandran::4,Cancer Vaccines: The Next Immunotherapy Breakthrough,Inducing De Novo CD8 and CD4 T Cell Immunity in Pancreatic Cancer,Vinod Balachandran,Memorial Sloan Kettering Cancer Center,session_chair_with_data,pancreatic ductal adenocarcinoma,phase_1,cancer_vaccines; combination_therapy; translational; biomarker_development,first_in_class,"The speaker developed a personalized RNA vaccine (autogene cevumarán) for PDAC, targeting high-quality neoantigens. The vaccine induces de novo, long-lived CD8+ and CD4+ Th1 effector T cells. These responses correlate with delayed recurrence and improved overall survival, with CD4+ cells appearing transiently in the blood but expanding in recurrent tumors and supporting CD8+ longevity.","Personalized RNA vaccines induced neoantigen-specific T cells in 50% of unselected PDAC patients. | Vaccine-induced CD8 T cells showed exceptional longevity, with a median estimated lifespan of 7.7 years. | At 6-year follow-up, vaccine responders had significantly better overall survival (7/8 alive) compared to non-responders (2/8 alive). | 97.5% of induced CD8 and 100% of induced CD4 clones were absent in pre-vaccination tissues, proving de novo induction. | Induced CD4 T cells transition to a Th1 effector-like phenotype (granzyme+, T-bet+) and are clonally expanded in recurrent tumors. | Cross-reactivity to the wild-type epitope correlates with enhanced T cell longevity in vivo.",2,5,1,recurrence-free survival,not reached,not specified,vaccine responders
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::patel::1,CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,Advancing BCMA and Novel Targets in Multiple Myeloma CAR T Therapy,Karina Patel,"The University of Texas MD Anderson Cancer Center, Department of Lymphoma and Myeloma",academic_pi,multiple myeloma,phase_3,immunotherapy; CAR_T; combination_therapy; translational; clinical_trial,first_in_class,"BCMA‑directed CAR T cells (ide‑cel, cilta‑cel) engage the TNFRSF17 antigen on >95% of myeloma cells, delivering potent cytotoxicity and inducing deep MRD‑negative remissions; next‑generation CARs add dual‑epitope binding or tandem targeting of GPRC5D to overcome antigen escape and improve durability, while novel manufacturing (fast off‑rate D‑domain CARs, allogeneic CRISPR‑edited products) aim to reduce CRS/ICANS and broaden access.","Ide‑cel Phase 1 in heavily pre‑treated MM achieved 72% ORR and median PFS 11.1 months, surpassing historical expectations. | KarMMa‑3 Phase 3 showed CAR‑T median PFS 13.3 months versus 4.4 months with daratumumab‑based triplet (HR ≈ 0.33). | Cilta‑cel produced 97‑98% ORR with 33% of patients remaining disease‑free at 5 years, indicating functional cure potential. | GPRC5D‑targeted CAR T yielded 87% ORR (94% in BCMA‑naïve patients) and PFS up to 24.3 months, demonstrating efficacy after BCMA failure. | Fast‑off‑rate D‑domain CAR (Anita Cell) reported 96% ORR and 74% stringent CR with a favorable safety profile in early data. | Allogeneic CRISPR‑edited BCMA CAR (CB‑011) achieved 92% ORR, 75% ≥CR, and 91% MRD negativity, though persistence was limited to ~3 months. | In‑vivo lentiviral vector delivery of anti‑BCMA CAR achieved CAR expansion without lymphodepletion in four heavily pre‑treated patients, suggesting a path to off‑the‑shelf therapy.",4,8,3,ORR,72%,n=?? (Phase 1 ide‑cel),"relapsed/refractory MM, ≥6 prior lines"
cart-therapy-transforming-the-landscape-of-adult-and-pediatric-blood-cancers::frank::2,CAR-T Therapy: Transforming the Landscape of Adult and Pediatric Blood Cancers,Emerging Multi‑Antigen CAR T Strategies in Lymphoma and Leukemia,Matthew Frank,"Stanford University, Division of Blood and Marrow Transplantation and Cellular Therapy",academic_pi,large B-cell lymphoma; mantle cell lymphoma; follicular lymphoma; marginal zone lymphoma; ALL; CLL,mixed,CAR_T; combination_therapy; clinical_trial; translational; basic_science,best_in_class,"Multi‑antigen CAR T constructs (tandem, bicistronic, trispecific) co‑express CARs against CD19, CD20, CD22 or CD79B, enabling simultaneous recognition of distinct B‑cell markers to prevent antigen loss; rapid manufacturing platforms reduce vein‑to‑infusion time, while higher upfront dosing and armored IL‑18 CARs aim to boost expansion and overcome an immunosuppressive tumor microenvironment.","Zantacel (CD19/CD20 tandem) achieved 73% ORR and ~50% CR in heavily pre‑treated large B‑cell lymphoma with only 4% grade 3 ICANS. | Kite‑363 bicistronic CD19/CD20 CAR showed ~90% ORR and ~80% CR in primary refractory lymphoma, with reduced neurotoxicity compared to axicel. | J&J tandem CD19/CD20 CAR reported >90% ORR and 75‑80% CR across high‑risk cohorts, with low severe ICANS rates. | Cargo CD22 CAR in post‑CD19 relapse patients yielded 70% ORR and 53% CR overall, and 100% CR in follicular lymphoma cohort, without grade 3+ CRS/ICANS. | Higher upfront CAR dose (double infusion) in high‑LDH patients produced 93% ORR and 80% CR with manageable toxicity. | Armored IL‑18‑secreting CD19 CAR in CAR‑naïve patients achieved 81% ORR and 50% CR, albeit with increased grade 3 CRS resembling HLH. | Rapid manufacturing (YTB‑323, Kite‑753) delivering low‑dose CARs in frontline high‑IPI DLBCL showed ~90% ORR and 74% CR, supporting earlier use.",7,8,5,ORR,73%,n=?? (Zantacel third‑line cohort),relapsed/refractory large B‑cell lymphoma
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::brown::1,cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,Advances and challenges in autologous CAR T manufacturing and scalability,Christine Brown,"City of Hope, Professor and Deputy Director of the CAR T-cell Program",academic_pi,brain tumors; solid tumors; hematologic malignancies; autoimmune diseases,phase_1,immunotherapy; combination_therapy; translational; cell_therapy; manufacturing,platform_technology,"Brown highlighted that rapid, automated manufacturing (1-3 day processes) and point‑of‑care production can preserve T‑cell fitness and reduce cost, while maintaining the potency of autologous CAR T cells for brain and solid tumors. She described collaborations using Solaris' Cell Shuttle to enable dual‑CAR, pooled approaches and emphasized decentralized manufacturing to improve access.","City of Hope has treated 500 patients across 16 phase‑1 autologous CAR T trials. | Manufacturing capacity ranges from 55 to 85 patient‑specific products per year. | Rapid manufacturing platforms (1‑3 days) can shorten time to infusion from ~30 days to ~14 days. | Automated systems (Miltenyi Prodigy, Lonza Cocoon, Ori Biotech Airo, Solaris Cell Shuttle) reduce hands‑on labor and enable point‑of‑care production. | A pooled CAR approach targeting multiple GBM antigens is being developed with Solaris.",2,2,1,patients_treated,500,n=500,all autologous CAR T trial participants
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::roberts::2,cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,"Allogeneic CAR T cell platform: manufacturing, persistence strategies, and MRD‑guided trials",Zachary Roberts,"Allogene Therapeutics, Chief Medical Officer",industry_presenter,large B‑cell lymphoma; renal cell carcinoma; multiple myeloma,mixed,immunotherapy; cell_therapy; combination_therapy; clinical_trial; translational,first_in_class,"Roberts described Allogene's allogeneic CAR T platform that uses TRAC and CD52 gene edits to eliminate TCR and render cells resistant to alemtuzumab (CD52‑targeting) lymphodepletion, enabling selective host T‑cell depletion and enhanced CAR T expansion. He introduced the CD70‑targeting “dagger” CAR that cis‑masks CD70 to prevent fratricide and leverages host allo‑reactivity for superior expansion and persistence, demonstrated in RCC trials.","Allogene's celma‑cel (CD19 CAR with TRAC and CD52 knockout) achieved a 67% ORR in relapsed/refractory LBCL, with most responses being complete. | No high‑grade CRS, ICANS, or GVHD observed across >200 treated patients. | In the ALPHA III MRD‑positive LBCL trial, 60% of celma‑cel patients cleared ctDNA versus 16.7% on observation (p<0.01). | CD70‑targeting dagger CAR (ALO329) yielded a 31% durable ORR in CD70‑high RCC with unprecedented Cmax and AUC28 expansion. | Higher lymphodepletion intensity (e.g., alemtuzumab exposure) correlated with greater CAR T expansion (AUC28) in phase 1 LBCL studies. | Manufacturing capacity of 30,000‑60,000 doses per year at <$10‑20k per dose, enabling community‑based delivery.",2,7,2,overall_response_rate,67%,n=200+ treated LBCL patients,relapsed/refractory large B‑cell lymphoma
cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous::diaco::3,cell-therapy-at-a-crossroads-exploring-the-evolving-landscape-between-autologous,In vivo CAR T engineering using GeneWriter RNA‑LNP platform,Alberto Diaco,"Tessera Therapeutics, Director",industry_presenter,hematologic malignancies; solid tumors,preclinical,immunotherapy; cell_therapy; platform_technology; gene_editing; RNA_therapeutics,first_in_class,"Diaco introduced Tessera's GeneWriter platform, an RNA‑based non‑LTR retrotransposon system packaged in targeted LNPs that delivers a template RNA encoding a CAR and a GeneWriter mRNA encoding the editing protein, enabling site‑random genomic integration of the CAR without viral vectors. In vitro, GeneWriters achieve 3‑25% CAR‑positive T cells; in vivo mouse studies reach ~25‑30% CAR‑positive T cells with tumor clearance and B‑cell aplasia at doses as low as 0.03 MPK.","Five GeneWriter variants yielded 3‑25% CAR expression in human T cells in vitro. | GeneWriter integration shows a near‑random genomic distribution, unlike lentiviral vectors which favor active genes. | In NSG tumor models, LNP‑delivered CD19 GeneWriter achieved ~30% CAR‑positive T cells by day 13 and complete tumor eradication. | In a humanized mouse model, CD20 GeneWriter at 0.3 MPK produced ~20% CAR‑positive T cells and rapid B‑cell depletion; lower dose (0.03 MPK) still achieved delayed but measurable CAR expression and B‑cell aplasia. | GeneWriter integration pattern suggests lower bias toward essential genes, potentially reducing insertional mutagenesis risk.",2,0,0,,,,
cellular-therapies-and-complex-immunotherapies::nadeem::1,cellular-therapies-and-complex-immunotherapies,CAR-PRISM trial of cilta-cel in high-risk smoldering multiple myeloma,Dr. Omar Nadeem,Dana-Farber Cancer Institute,academic_pi,multiple myeloma,phase_1,cellular_therapy; CAR_T; clinical_trial; translational,first_in_class,"Cilta-cel, a BCMA-directed CAR T-cell product, is infused after lymphodepletion in high-risk smoldering myeloma patients, leading to rapid CAR T expansion, potent tumor cell killing, and universal MRD negativity without induction therapy, demonstrating a curative intent in an early disease setting.","All 20 treated patients achieved MRD negativity at a sensitivity of 10^-6 (100% MRD-negative rate). | Overall response rate was 100% with 90% achieving complete or stringent complete responses. | No dose-limiting toxicities or grade ≥3 CRS/ICANS were observed; CRS was limited to grade 1–2 in all patients. | Non-ICANS neurotoxicities occurred in 35% of patients, mostly low-grade and reversible. | Median follow-up of 15.3 months showed no disease progression; median PFS and OS not reached.",1,6,0,ORR,100%,n=20,treated patients
cellular-therapies-and-complex-immunotherapies::tanyi::2,cellular-therapies-and-complex-immunotherapies,First-in-human dose escalation of multi-chain KIR CAR targeting mesothelin,Dr. Janos Tanyi,University of Pennsylvania,academic_pi,mesothelioma; ovarian cancer; cholangiocarcinoma,phase_1,cellular_therapy; CAR_T; clinical_trial; basic_science; platform_technology,platform_technology,"The multi-chain KIR CAR separates the antigen-binding SS1 scFv (targeting mesothelin) from the DAP12 intracellular signaling domain, providing an on/off switch that activates T cells only upon mesothelin engagement, reducing tonic signaling and exhaustion compared with traditional single-chain CARs.","Multi-chain KIR CAR showed minimal tonic signaling and lower exhaustion marker expression versus conventional single-chain CARs in vitro. | In mouse xenograft models, the KIR CAR achieved significant tumor regression with lower peripheral CAR T-cell persistence. | In the first-in-human dose escalation (9 patients), no dose-limiting toxicities, CRS (grade 1‑2) in 33%, and no ICANS were observed. | Disease stabilization was achieved in 55% of patients across dose levels, with one partial response at the highest dose. | CAR T-cell expansion in peripheral blood increased with dose but was not proportional, suggesting a plateau effect.",1,4,0,CRS grade ≥3,0%,n=9,dose levels 1‑3
cellular-therapies-and-complex-immunotherapies::melero::3,cellular-therapies-and-complex-immunotherapies,FAP‑targeted 4‑1BB ligand trimer amplifies T‑cell engager in MSS colorectal cancer,Dr. Ignacio Melero,"University Clinic of Navarra, Spain; University of Oxford, UK",academic_pi,colorectal cancer,phase_1b,immunotherapy; bispecific_antibody; combination_therapy; clinical_trial; tumor_microenvironment,first_in_class,"Civisatuximab engages CD3 on T cells and CEA on tumor cells, providing signal 1; the FAP‑targeted trimeric 4‑1BB ligand binds fibroblast activation protein in the tumor stroma, delivering conditional 4‑1BB co‑stimulation (signal 2) only where FAP is present, thereby enhancing T‑cell activation, proliferation, and antitumor efficacy in MSS colorectal cancer.","Combination yielded an overall response rate of 13% (20% at highest 4‑1BB ligand dose) in heavily pretreated MSS colorectal cancer. | Disease control rate reached 50%, exceeding historical monotherapy with civisatuximab. | CRS was mostly grade 1‑2; grade ≥3 CRS occurred in 2% of patients, indicating manageable safety. | Pharmacodynamic analyses showed increased peripheral IFN‑γ, sCD25, and IL‑6, and enhanced intratumoral CD8+ T‑cell density, especially in fibrotic stromal regions. | Higher tumor FAP and CEA expression trended with better tumor shrinkage, suggesting potential biomarkers.",2,5,1,ORR,13%,n=52,all dose cohorts
cellular-therapies-and-complex-immunotherapies::spiliopoulou::4,cellular-therapies-and-complex-immunotherapies,Phase 1/2 mRNA‑4359 vaccine plus pembrolizumab in first‑line advanced melanoma,Dr. Pavlina Spiliopoulou,University of Glasgow,academic_pi,melanoma,phase_1_2,cancer_vaccines; immunotherapy; combination_therapy; clinical_trial; biomarker_development,first_in_class,"Lipid‑nanoparticle mRNA‑4359 encodes PD‑L1 and IDO1; after intramuscular injection, dendritic cells translate and present these antigens, priming PD‑L1‑ and IDO1‑specific CD4⁺ and CD8⁺ T cells that infiltrate tumors, target PD‑L1⁺/IDO1⁺ tumor and suppressor cells, and synergize with pembrolizumab to overcome checkpoint resistance.","Objective response rate of 83% (2 CR, 8 PR) with a 92% disease control rate in 12 first‑line melanoma patients. | No vaccine‑related grade ≥3 adverse events; safety profile consistent with other mRNA vaccines. | All evaluable patients showed increased PD‑L1 and IDO1‑specific T‑cell responses by ELISpot. | De novo peripheral TCR clonal expansion observed irrespective of clinical response. | Responses occurred regardless of baseline PD‑L1 expression or prior adjuvant therapy.",2,4,1,ORR,83%,n=12,all treated patients
chemistry-to-the-clinic-part-1-of-4-the-next-generation-of-conjugates-innovative::toomey::1,chemistry-to-the-clinic-part-1-of-4-the-next-generation-of-conjugates-innovative,Immune‑stimulating ADCs with TLR7 agonist payloads and dual payload strategies,Nathan Toomey,Binghamton University,academic_pi,breast cancer; pancreatic cancer; colorectal cancer; lung cancer,preclinical,immunotherapy; cancer_vaccines; ADC; combination_therapy; translational; basic_science,first_in_class,"The presented work develops immune‑stimulating ADCs (ISACs) that deliver a permeable TLR7 agonist (E104) via a legumain‑cleavable linker, using Fc‑silent antibodies to reduce Fcγ‑mediated uptake and cytokine release; dual‑payload ADCs combine the TLR7 agonist with MMAF to achieve synergistic tumor growth delay in mouse models.","Fc‑silent, legumain‑cleavable TLR7‑ADC showed potent macrophage activation in co‑culture assays with minimal cytokine release compared to Fc‑active controls. | In HER2‑positive xenografts, the Fc‑silent ADC achieved tumor regression at 10 MPK Q4D×3, whereas the Fc‑active isotype control caused only modest delay and systemic cytokine release. | Trop‑2‑targeted ISAC demonstrated efficacy at 3 MPK in immune‑competent mice with no activity from isotype or naked antibody controls. | Dual‑payload ADC (MMAF + E104) produced significant tumor growth delay and regression in xenograft models, outperforming each single‑payload ADC, without observable weight loss or behavioral toxicity. | Anti‑Trop‑2 antibody responses were detected in mice after dosing, indicating immunogenicity despite Fc silencing.",4,0,1,,,,
chemistry-to-the-clinic-part-1-of-4-the-next-generation-of-conjugates-innovative::wang::2,chemistry-to-the-clinic-part-1-of-4-the-next-generation-of-conjugates-innovative,PI3K/mTOR inhibitor payloads for ADCs targeting B‑cell and HER2 cancers,Shixiong Wang,AbbVie,industry_presenter,B‑cell lymphoma; DLBCL; breast cancer; head and neck cancer; pancreatic cancer,preclinical,ADC; targeted_therapy; PI3K_pathway; combination_therapy; translational; basic_science,first_in_class,"Optimized pan‑PI3K/mTOR inhibitors were conjugated to antibodies (CD79B, HER2, CD71) via stable linkers to create ADCs that deliver potent intracellular kinase inhibition, achieving tumor‑stasis doses as low as 1.5 MPK in lymphoma models and demonstrating synergistic activity with venetoclax through MYC degradation in double‑hit DLBCL.","DAR10 ADCs with optimized PI3K/mTOR payloads showed sub‑nanomolar in‑vitro potency across lymphoma cell lines. | In CD79B‑targeted ADCs, a tumor‑stasis dose of ~3 MPK was identified, with regression at 5‑15 MPK, outperforming the free inhibitor (copanlisib). | Combination of the PI3K‑ADC with venetoclax in MYC‑BCL2 double‑hit lymphoma yielded superior tumor suppression and sustained efficacy versus either agent alone. | HER2‑targeted PI3K‑ADC demonstrated bystander killing in mixed HER2‑positive/negative cultures and tumor regression at 9 MPK, with more durable AKT pathway suppression than alpelisib. | Preclinical tolerability studies showed the ADCs were well‑tolerated in rats (up to 150 MPK) and monkeys (up to 100 MPK), with toxicity profiles consistent with on‑target PI3K effects.",4,0,2,,,,
chemistry-to-the-clinic-part-1-of-4-the-next-generation-of-conjugates-innovative::ito::3,chemistry-to-the-clinic-part-1-of-4-the-next-generation-of-conjugates-innovative,Degrader Antibody Conjugates (DAC) using SMARCA2/4 targeted protein degraders as payloads,Koichi Ito,Prelude Therapeutics,industry_presenter,prostate cancer; breast cancer; AML; multiple myeloma; solid tumors,preclinical,ADC; PROTAC_degrader; targeted_therapy; combination_therapy; translational; basic_science,first_in_class,"Prelude’s DAC platform conjugates highly potent SMARCA2/4 PROTAC degraders to tumor‑specific antibodies (e.g., anti‑PSMA, anti‑mutant CALR), delivering intracellular degradation of SWI/SNF ATPase subunits, resulting in selective tumor cell killing with reduced systemic toxicity compared to the free degrader.","VHL‑based SMARCA2/4 degrader (Degrader‑04) achieved ~300 nM degradation potency; switching to cereblon (Degrader‑06) improved potency to ~40‑90 pM but reduced plasma stability. | DAC‑02 (anti‑PSMA conjugated to Degrader‑04) showed antigen‑specific internalization and SMARCA2/4 degradation in PSMA‑positive LNCaP cells, with robust tumor regression and no significant weight loss, unlike the free degrader. | Cereblon‑based Degrader‑07 achieved >200 h plasma half‑life and picomolar degradation potency, enabling more stable DACs for in‑vivo studies. | Mutant CALR‑targeted DAC demonstrated selective SMARCA2/4 degradation and anti‑proliferative activity in CALR‑mutant cells, with tumor regression in TF1 xenografts at tolerable doses. | Global proteomics confirmed on‑target degradation of SMARCA2/4 with minimal off‑target effects.",4,0,0,,,,
chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim::erb::1,chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim,Heterobifunctional PARP-BET molecules induce PARP2 trapping and synthetic lethality,Michael Erb,"Department of Chemistry, Scripps Research Institute",session_chair_with_data,prostate cancer; HR-deficient tumors,preclinical,immunotherapy; cancer_vaccines; PROTAC_degrader; other,first_in_class,"PSIP1 is a heterobifunctional small molecule that weakly engages PARP1/2 and BRD4 but induces a ternary complex preferentially with PARP2, leading to PARP2 chromatin trapping, inhibition of DNA repair, S‑phase arrest and synthetic lethality in HR‑deficient cells.","PSIP1 shows minimal binary engagement of PARP1/2 and BRD4 yet induces potent cytotoxicity comparable to BET inhibition. | Synthetic lethality of PSIP1 is retained in BRCA2‑deficient DLD1 cells and is abolished by stereochemical inversion of the JQ1 moiety. | FRET and co‑IP experiments confirm ternary complex formation between PARP2 and BRD4 that is lost with the inactive enantiomer. | PARP2 knockout confers resistance to PSIP1, whereas PARP1 knockout sensitizes cells, indicating PARP2‑dependent toxicity. | CRISPR screens identify SUMO pathway components (PIAS4, SEMP1) and ABCC1 as selective modifiers of PSIP1 activity.",3,0,1,,,,
chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim::gibson::2,chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim,Beyond degradation: induced proximity strategies entering the clinic,William Gibson,Dana‑Farber Cancer Institute,academic_pi,pancreatic ductal adenocarcinoma; non‑small cell lung cancer,phase_1_2,cancer_vaccines; targeted_therapy; clinical_trial; other,first_in_class,"Daxinrasib is a bifunctional KRAS‑G12C binder that recruits cyclophilin A to create a neo‑protein‑protein interface, enabling high‑affinity inhibition of the previously undruggable KRAS G12C mutant and producing durable tumor regressions in PDAC and NSCLC.",Phase 1/2 trial of daxinrasib in KRAS G12C PDAC (n≈40) achieved an ORR of ~50%. | In the larger RASalute‑302 cohort (n=83) the ORR was 35% in second‑line PDAC patients. | Registrational data (RASalute‑303) show a hazard ratio for overall survival of 0.40 versus standard chemotherapy. | Efficacy appears superior in earlier‑line settings and in NSCLC compared with docetaxel.,1,3,1,ORR,35%,n=83,KRAS G12C PDAC second‑line
chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim::banic::3,chemistry-to-the-clinic-part-2-of-4-beyond-inhibitionthe-next-frontier-in-proxim,High‑throughput discovery of induced‑proximity molecules using ratiometric transcriptional activation,Steven Banic,Stanford University,academic_pi,,unspecified,platform_technology; AI_ML; other,platform_technology,"The platform couples degradation of a transcriptional inhibitor fused to a protein of interest with activation of a reporter gene, enabling sensitive, multiplexed detection of protein degradation or induced protein‑protein interactions across thousands of small‑molecule and target combinations.","Ratiometric transcriptional activation detects as little as 10% protein degradation, outperforming HiBiT and direct fluorescence readouts. | Multiplexed screening of 10,000 cereblon‑binding molecules against 120 targets identified selective degraders (e.g., PDE6D) and protein‑dependent toxicities. | RNA‑barcode readout amplifies a 1% fluorescence change to a 15% signal, enabling simultaneous profiling of ~200 proteins per well.",0,0,0,,,,
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::shapiro::1,chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,Orally bioavailable macrocyclic cyclin inhibitors for cancer,Justin Shapiro,Circle Pharma,industry_presenter,small cell lung cancer; triple-negative breast cancer; mantle cell lymphoma; ER-positive breast cancer,preclinical,targeted_therapy; platform_technology; basic_science; translational; other,first_in_class,"Macrocyclic peptides bind the RXL substrate pocket on cyclin A/B or the cyclin D1–Rb interface, disrupting substrate recruitment and cyclin–CDK complex formation, leading to replication stress, mitotic catastrophe, and selective tumor cell death while sparing normal fibroblasts.","Compound three achieved double‑digit nanomolar cellular potency against SCLC lines with improved MDCK permeability. | Compound six reached single‑digit nanomolar biophysical affinity for cyclins A/B, retained selectivity over cyclin E, and showed oral bioavailability (~30% F) in mice. | Oral dosing of compound six (30–100 mg/kg PO) produced robust tumor regressions in CDX SCLC models without body‑weight loss. | The same compound demonstrated tumor regressions in patient‑derived xenograft models of triple‑negative breast cancer. | Isoform‑selective cyclin D1 inhibitor potently inhibited cyclin D1–Rb interaction, blocked proliferation of mantle‑cell lymphoma and ER‑positive breast cancer lines, and outperformed acalabrutinib in a mantle‑cell lymphoma CDX model.",3,3,0,tumor regression,observed at 100 mg/kg QD IP in CDX SCLC model,n=unspecified,small cell lung cancer CDX mice
chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d::rob::2,chemistry-to-the-clinic-part-3-of-4-novel-modalities-targets-and-mechanisms-in-d,Structure‑guided discovery of DHXX8 RNA‑helicase inhibitors,Rob,Institute of Cancer Research (ICR),academic_pi,breast cancer; colorectal cancer,preclinical,targeted_therapy; basic_science; translational; platform_technology; other,first_in_class,"Compound 54 binds the RNA‑binding tunnel of DHXX8, mimicking a phosphate backbone, and stabilizes the enzyme in an inactive ADP‑bound conformation, blocking RNA translocation and splicing, leading to intron retention of oncogenic transcripts and tumor cell death.","Fragment‑based screening identified a carboxylic‑acid fragment that binds the DHXX8 RNA‑binding tunnel and mimics a phosphate group. | Structure‑guided optimization yielded compound 54 with sub‑micromolar biochemical potency and cellular target engagement. | Compound 54 shows good permeability, low clearance, and >24 h exposure above cellular IC50 in PK studies. | In SUM159 xenografts, compound 54 modulated splicing of MCL1 and HSF1, with maximal effect at 6 h for MCL1. | At 30 mg/kg daily, compound 54 produced two complete tumor regressions in HT29 CDX mice, but high doses caused >10 % body‑weight loss, indicating a narrow therapeutic index.",1,3,0,tumor growth inhibition,significant efficacy at 30 mg/kg and 50 mg/kg daily; two complete regressions at 30 mg/kg,n=unspecified,HT29 CDX mice
