talk_id,speaker_name,institution,session_title,opportunity_type,priority,description,transcript_evidence,crispro_angle
aacr-annual-meeting-2026-highlights::unknown::1,Dr. Christopher Li,Fred Hutchinson Cancer Center,aacr-annual-meeting-2026-highlights,biomarker_stratification_gap,high,"Identify and validate a platelet activation biomarker (e.g., UTXM) to select patients who will benefit from aspirin chemoprevention","Speaker said: ""she's currently evaluating a biomarker, UTXM, which is a biomarker of platelet activation, to see if this can inform who will versus who will not respond to aspirin""",CrisPRO can integrate platelet‑derived omics with clinical outcomes to develop a predictive model for aspirin benefit
aacr-annual-meeting-2026-highlights::unknown::1,Dr. Christopher Li,Fred Hutchinson Cancer Center,aacr-annual-meeting-2026-highlights,policy_and_implementation_gap,medium,Use computational modeling to predict impact of insurance coverage and education interventions on salpingectomy adoption,"Speaker noted: ""insurance coverage and inadequate patient education were the primary barriers""",CrisPRO can simulate population‑level uptake scenarios and estimate cancer incidence reduction
aacr-annual-meeting-2026-highlights::unknown::2,Dr. Kathy Dombrowsk,"University of California, San Francisco (assumed based on typical affiliation)",aacr-annual-meeting-2026-highlights,resistance_mechanism_addressable,high,Develop computational models to predict tumor microenvironment factors that drive CAR‑T exhaustion in mesothelin‑targeted therapies,"Speaker admitted: ""the responses were disappointing"" when discussing mesothelin CAR‑T trials",CrisPRO can integrate spatial transcriptomics with CAR‑T phenotypes to suggest engineering modifications
aacr-annual-meeting-2026-highlights::unknown::2,Dr. Kathy Dombrowsk,"University of California, San Francisco (assumed based on typical affiliation)",aacr-annual-meeting-2026-highlights,biomarker_stratification_gap,medium,Create a predictive biomarker panel for cyclin E1 amplification to enrich patients for the VE‑1/PKMYT inhibitor combination,"Speaker noted: ""we are not ignoring cyclin E1 amplifications because we have a potential matched treatment""",CrisPRO can mine existing genomic datasets to derive a cyclin E1‑high signature linked to response
aacr-annual-meeting-2026-highlights::unknown::2,Dr. Kathy Dombrowsk,"University of California, San Francisco (assumed based on typical affiliation)",aacr-annual-meeting-2026-highlights,failed_asset_salvage,medium,Re‑engineer the CCR8 antibody to include a conditional activation mechanism based on tumor‑specific protease activity,"Speaker said: ""two of the trials ... had disappointing results with response rate in single digits""",CrisPRO can simulate protease‑cleavable linker designs to improve tumor selectivity
aacr-annual-meeting-2026-highlights::unknown::2,Dr. Kathy Dombrowsk,"University of California, San Francisco (assumed based on typical affiliation)",aacr-annual-meeting-2026-highlights,trial_design_improvement,high,Incorporate real‑time ctDNA monitoring to adapt dosing of KRAS G12D inhibitor zoldonrasib,Speaker highlighted that 73% of patients cleared ctDNA but did not link this to adaptive trial design,CrisPRO can model ctDNA kinetics to propose adaptive trial algorithms
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::gill::1,Saar Gill,University of Pennsylvania,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,resistance_mechanism_addressable,high,Overcoming the need for T cell activation (which is required for LDLR upregulation and dNTP pool increase) to allow direct in vivo transduction of resting T cells.,"successful reverse transcription requires a considerable dNTP pool, which is low in resting T cells",Computational identification of alternative entry receptors or metabolic modifiers to bypass the dNTP/LDLR requirement for resting T cells.
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::mackall::2,Crystal Mackall,Stanford University,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,resistance_mechanism_addressable,high,Replacing mouse-derived scFv with fully humanized or 'stealth' platforms to prevent the anti-CAR immune response that limits persistence in the CNS.,these mapped in large part to the mouse-derived single-chain Fv... these data suggest that perhaps we should be using stealth platforms,Computational design of non-immunogenic humanized binders and junctional domains to eliminate T cell and B cell epitopes.
aacr-asco-joint-session-next-generation-of-car-t-cell-therapies::darcy::3,Phil Darcy,Peter McCallum Cancer Centre,AACR/ASCO Joint Session: Next Generation of CAR-T Cell Therapies,platform_superiority_angle,medium,"Using tumor-specific promoters (NR4A2 for safety, RGS16 for potency) to drive armored payloads (IL-12, IL-2) specifically at the tumor site.","NR4A2 was driving a safe delivery of IL-12 to the tumor, inducing strong anti-tumor effects",Computational identification of more precise tumor-specific promoters and 3' UTR elements to further restrict expression and avoid peripheral toxicity.
aacr-award-for-lifetime-achievement-in-cancer-research::unknown::1,Dr. James P. Allison,University of Texas MD Anderson Cancer Center,aacr-award-for-lifetime-achievement-in-cancer-research,biomarker_stratification_gap,high,"Identify and validate ICOS‑positive CD4 T cells as a predictive biomarker for CTLA-4 blockade response, enabling enrichment of responsive patients.","Speaker said: ""We could not find these ICOS‑positive CD4 cells in untreated patients or mice; they only appear after anti‑CTLA‑4 treatment.""",CrisPRO can integrate single‑cell RNA‑seq and spatial proteomics to develop a robust ICOS‑CD4 signature and predict responders before therapy.
aacr-award-for-lifetime-achievement-in-cancer-research::unknown::1,Dr. James P. Allison,University of Texas MD Anderson Cancer Center,aacr-award-for-lifetime-achievement-in-cancer-research,combination_partner,medium,"Leverage ICOS ligand agonism on dendritic cells to boost CTLA-4 efficacy, as demonstrated by complete tumor eradication when ICOS‑L was added.","Speaker said: ""Adding ICOS ligand to the vaccine increased antitumor effect from essentially none to 100%.""",CrisPRO can model the synergistic impact of ICOS‑L agonists with CTLA-4 blockade across tumor types to prioritize preclinical combos.
aacr-award-for-lifetime-achievement-in-cancer-research::unknown::1,Dr. James P. Allison,University of Texas MD Anderson Cancer Center,aacr-award-for-lifetime-achievement-in-cancer-research,trial_design_improvement,medium,Design trials that stratify patients by baseline tetrad density or ICOS‑high CD4 prevalence to avoid diluting efficacy signals.,"Speaker said: ""Tetrads are more predictive of response than tertiary lymphoid structures.""",Use CrisPRO's spatial analytics to quantify tetrad metrics in archival samples and define enrollment thresholds.
aacr-award-for-outstanding-achievement-in-basic-cancer-research::unknown::1,Dr. He,Princess Margaret Cancer Centre / University of Toronto,aacr-award-for-outstanding-achievement-in-basic-cancer-research,biomarker_stratification_gap,high,"CircRNA abundance in plasma shows >1,000‑fold increase over linear RNA but sensitivity is low; a more robust assay could enable patient selection.","Speaker said: ""there's actually over 1,000‑fold increase of the ratio of circular versus their linear counterpart"" and later ""we miss a lot"" indicating low sensitivity.","CrisPRO can model circRNA secondary structure and predict optimal primer/probe designs to improve detection limits, enabling a stratified biomarker assay."
aacr-award-for-outstanding-achievement-in-basic-cancer-research::unknown::1,Dr. He,Princess Margaret Cancer Centre / University of Toronto,aacr-award-for-outstanding-achievement-in-basic-cancer-research,resistance_mechanism_addressable,medium,"CircRMST stabilizes NKX2.1 protein; loss leads to reduced neuroendocrine transdifferentiation, suggesting a targetable resistance node.","Speaker said: ""when we knock down circRMST, you will see the binding of both transcription factors decrease at ASL1"" and ""NKX2.1 half‑life drops from 17 h to 5 h"".",CrisPRO can predict RNA‑protein interaction interfaces and design antisense oligos or siRNAs that disrupt the circRMST‑NKX2.1 interaction.
aacr-award-for-outstanding-achievement-in-basic-cancer-research::unknown::1,Dr. He,Princess Margaret Cancer Centre / University of Toronto,aacr-award-for-outstanding-achievement-in-basic-cancer-research,platform_superiority_angle,high,Circular RNA‑based mRNA delivery shows prolonged expression in vivo compared with linear mRNA.,"Speaker said: ""using the circular form delivered via lipid nanoparticle, signal persisted to day 19, whereas linear mRNA disappeared by day 3"".","CrisPRO can optimize circular RNA constructs for stability and translation efficiency, providing a competitive edge for RNA therapeutics."
aacr-award-for-outstanding-achievement-in-blood-cancer-research::unknown::1,Dr. John DiPersio,Washington University School of Medicine in St. Louis,aacr-award-for-outstanding-achievement-in-blood-cancer-research,biomarker_stratification_gap,high,Identify patients at risk of CD7 antigen loss using CRISPR‑derived resistance signatures and serial ctDNA/flow monitoring,"Speaker said: ""We noticed that some of the patients had lost CD7 expression. In fact, most of them that relapsed had lost CD7 expression.""","CrisPRO can integrate genomic, transcriptomic and ctDNA data to predict CD7 loss and guide patient selection or early switch to alternative CARs"
aacr-award-for-outstanding-achievement-in-blood-cancer-research::unknown::1,Dr. John DiPersio,Washington University School of Medicine in St. Louis,aacr-award-for-outstanding-achievement-in-blood-cancer-research,resistance_mechanism_addressable,medium,Target the CD2 costimulatory pathway by epitope‑masked CD2 or CD2‑cytoplasmic domain insertion to overcome CD2‑knockout functional loss,"Speaker said: ""When we delete CD2 in T cells and in these CAR T cells, they take a huge hit. We did not see that with CD7.""",CrisPRO can model CD2‑CAR signaling networks to design optimal intracellular domains that restore function without antigen expression
aacr-award-for-outstanding-achievement-in-blood-cancer-research::unknown::1,Dr. John DiPersio,Washington University School of Medicine in St. Louis,aacr-award-for-outstanding-achievement-in-blood-cancer-research,combination_partner,high,Co‑administer long‑acting IL‑7 (NTi‑7) to boost CAR T expansion and persistence in T‑cell malignancies,"Speaker said: ""The addition of just a cytokine, IL‑7, provided curative potential in multiple mouse models.""",CrisPRO can predict cytokine‑CAR synergy and optimal dosing windows to maximize expansion while minimizing CRS
aacr-award-for-outstanding-achievement-in-blood-cancer-research::unknown::1,Dr. John DiPersio,Washington University School of Medicine in St. Louis,aacr-award-for-outstanding-achievement-in-blood-cancer-research,trial_design_improvement,medium,Incorporate early IL‑7 dosing (days 1‑7) and prospective CRS mitigation (PI3γδ + JAK inhibition) into the registration protocol,"Speaker said: ""If you wait 21 days, there's no benefit. If you wait 14 days, there's a diminished benefit, and you have to give it between days one and day seven for them to be markedly improved.""",CrisPRO can simulate trial arms with varied IL‑7 timing and prophylactic kinase inhibition to forecast efficacy and safety outcomes
aacr-award-for-outstanding-achievement-in-chemistry-in-cancer-research::unknown::1,Dr. Cheryl H. Arrowsmith,Princess Margaret Cancer Centre / University of Toronto,aacr-award-for-outstanding-achievement-in-chemistry-in-cancer-research,biomarker_stratification_gap,high,Lack of biomarkers to predict which patient‑derived organoid models will respond to specific epigenetic probes,"Speaker noted: ""we see some models respond to a given agent, but others don't"" and ""context matters""",CrisPRO can integrate multi‑omics from organoid screens to derive predictive response signatures for epigenetic targets
aacr-award-for-outstanding-achievement-in-chemistry-in-cancer-research::unknown::1,Dr. Cheryl H. Arrowsmith,Princess Margaret Cancer Centre / University of Toronto,aacr-award-for-outstanding-achievement-in-chemistry-in-cancer-research,resistance_mechanism_addressable,medium,Epigenetic probe resistance linked to compensatory reader domain activity not captured by catalytic inhibition,"Speaker said: ""we were unable to make catalytic domain inhibitors for lysine 36 and turned to reader‑domain targeting""",CrisPRO can model allosteric and reader‑domain networks to design degraders that overcome such resistance
aacr-award-for-outstanding-achievement-in-chemistry-in-cancer-research::unknown::1,Dr. Cheryl H. Arrowsmith,Princess Margaret Cancer Centre / University of Toronto,aacr-award-for-outstanding-achievement-in-chemistry-in-cancer-research,platform_superiority_angle,high,"Open‑access probe generation platform can be leveraged to create proprietary, AI‑guided probe libraries for under‑explored WDR proteins","Speaker described: ""we are building Aircheck AI‑ready database and using DNA‑encoded library screens for 2,000 proteins""",CrisPRO’s computational spine can prioritize ligands from the Aircheck dataset for rapid lead optimization
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::unknown::1,Dr. Matthew Loupiain,,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,resistance_mechanism_addressable,high,"LINE‑1+ chromatin variants create repeat‑derived enhancers that boost AR expression, suggesting a biomarker‑guided strategy to combine AR degraders with agents targeting repeat‑derived regulatory activity.",LINE‑1+ are intrinsically resistant to androgen receptor selective inhibitors ... high density of de novo activated regulatory elements working at that locus to enhance the expression of the androgen receptor.,CrisPRO can model repeat‑derived enhancer‑target interactions and predict compounds that disrupt AR‑driven transcriptional programs.
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::unknown::1,Dr. Matthew Loupiain,,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,biomarker_stratification_gap,medium,Patients can be stratified by LINE‑1+ chromatin variant signature to predict response to AR‑targeted therapy.,Classification based on chromatin variants over repetitive sequences identifies a LINE‑1+ subgroup with poor response to AR inhibitors.,CrisPRO can develop a predictive classifier integrating ATAC‑seq repeat accessibility with clinical outcomes.
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::unknown::2,Dr. (Endometrial cancer speaker),,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,combination_partner,medium,"Targeting the uncommitted cell state (e.g., epigenetic modulators) may sensitize SMARCA4‑deficient tumors to chemotherapy.",SMARCA4 loss enables cell state disorder ... tumors became resistant to carboplatin.,CrisPRO can predict synthetic lethal interactions with SWI/SNF deficiency and prioritize epigenetic drugs.
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::unknown::3,Dr. Hongbin Ji,,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,biomarker_stratification_gap,high,Develop a KLK6A‑based assay to identify patients at risk of AST before KRAS G12C therapy.,high KLK6A level really correlate with poor patient survival and squamous signature enrichment,CrisPRO can integrate transcriptomic and epigenomic data to generate a predictive score for AST risk.
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::unknown::3,Dr. Hongbin Ji,,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,combination_partner,high,Combine KRAS G12C inhibitors with NF‑κB modulators or IL‑1 receptor antagonists to prevent AST.,NF‑κB inhibition accelerates squamous transition; IL‑1 receptor antagonist reduces NETs and squamous tumor burden.,CrisPRO can model pathway interactions and prioritize combination regimens that suppress the ROS‑NF‑κB‑IL‑1 axis.
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::unknown::3,Dr. Hongbin Ji,,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,trial_design_improvement,medium,Design trials that stratify by LKB1 status and include serial biopsies to monitor squamous signature emergence.,Correlation of squamous signature with poor response only observed in LKB1‑mutant subgroup.,CrisPRO can simulate adaptive trial designs incorporating dynamic biomarker monitoring.
aacr-cancer-research-institute-lloyd-j-old-award-in-cancer-immunology::unknown::1,Kenneth Murphy,"Washington University School of Medicine, St. Louis",aacr-cancer-research-institute-lloyd-j-old-award-in-cancer-immunology,biomarker_stratification_gap,high,Identify patients whose tumors rely on DC1‑dependent cross‑presentation versus those amenable to DC2‑mediated or cross‑dressed responses to tailor mRNA vaccine strategies.,"Speaker noted that ""mRNA vaccines engage both DC1s and DC2s"" and that ""a substantial amount of this priming occurs by cross‑dressing"".",CrisPRO can integrate single‑cell RNA‑seq and spatial proteomics to predict dominant antigen‑presentation pathways in individual tumors.
aacr-cancer-research-institute-lloyd-j-old-award-in-cancer-immunology::unknown::1,Kenneth Murphy,"Washington University School of Medicine, St. Louis",aacr-cancer-research-institute-lloyd-j-old-award-in-cancer-immunology,resistance_mechanism_addressable,medium,Target the WDFY4‑independent cross‑dressing pathway to overcome tumors that evade conventional cross‑presentation.,"Speaker demonstrated that ""the tetramer response is still very proud"" in WDFY4 knockout mice, indicating an alternative pathway.",Computational modeling of alternative antigen‑processing routes can reveal novel drug targets to boost cross‑dressing efficiency.
aacr-cancer-research-institute-lloyd-j-old-award-in-cancer-immunology::unknown::1,Kenneth Murphy,"Washington University School of Medicine, St. Louis",aacr-cancer-research-institute-lloyd-j-old-award-in-cancer-immunology,trial_design_improvement,medium,Design early‑phase mRNA vaccine trials that stratify participants by baseline DC subset signatures and type‑I IFN signatures to avoid dilution of signal.,"Speaker highlighted that ""type I interferons are required"" for cross‑dressing and that ""different lipid compositions could influence this"".",Use CrisPRO to simulate trial cohorts with varying IFN signatures and predict response rates under different dosing routes.
aacr-daniel-d-von-hoff-award-for-outstanding-contributions-to-education-and-trai::unknown::1,Dr. Charles W.M. Roberts,St. Jude Children's Research Hospital,aacr-daniel-d-von-hoff-award-for-outstanding-contributions-to-education-and-trai,resistance_mechanism_addressable,high,"DCAF5 loss restores SWI/SNF complex activity in SMARCB1‑deficient tumors, representing a synthetic‑lethal vulnerability that CrisPRO could model to predict responders.","Speaker said: ""When we knock out DCAF5, we see the SwitchNif complex accumulating... transcription is rescued... tumors were completely wiped out and did not recur.""","CrisPRO can integrate CRISPR dependency data with epigenomic signatures to prioritize patients whose tumors show SMARCB1 loss and DCAF5 dependency, enabling biomarker‑driven trial design."
aacr-daniel-d-von-hoff-award-for-outstanding-contributions-to-education-and-trai::unknown::1,Dr. Charles W.M. Roberts,St. Jude Children's Research Hospital,aacr-daniel-d-von-hoff-award-for-outstanding-contributions-to-education-and-trai,biomarker_stratification_gap,medium,"No biomarker was presented to identify which SMARCB1‑deficient cancers are most dependent on DCAF5, an opening for CrisPRO to develop a predictive expression signature.",Speaker noted that DCAF5 dependency was observed in rhabdoid tumor cell lines but did not discuss patient‑level biomarkers.,Use machine‑learning on DepMap and patient transcriptomics to derive a DCAF5‑dependency score for trial enrollment.
aacr-gertrude-b-elion-cancer-research-award-lecture::unknown::1,Carmen Li,University of Pennsylvania,aacr-gertrude-b-elion-cancer-research-award-lecture,biomarker_stratification_gap,high,Identify early chromatin accessibility signatures (AP1/WNT10A enriched regions) in BRCA1 heterozygous carriers to stratify high‑risk individuals.,"Speaker described ""open chromatin regions that are distinct from the wild‑type AV cells and are partially mimicking the chromatin state in the tumor cells"" and that these could be used for early detection.",CrisPRO can integrate ATAC‑seq and motif data to develop a predictive epigenetic risk score for BRCA1 carriers.
aacr-gertrude-b-elion-cancer-research-award-lecture::unknown::1,Carmen Li,University of Pennsylvania,aacr-gertrude-b-elion-cancer-research-award-lecture,resistance_mechanism_addressable,medium,Target the AP1‑driven transcriptional program that primes tumorigenesis in heterozygous cells.,"Speaker showed that ""partial AP1 inhibition can delay tumor formation in the heterozygous background"" indicating dependence on AP1.",CrisPRO can model AP1 network dependencies and prioritize small‑molecule or degrader candidates that disrupt the AP1‑WNT10A axis.
aacr-gertrude-b-elion-cancer-research-award-lecture::unknown::1,Carmen Li,University of Pennsylvania,aacr-gertrude-b-elion-cancer-research-award-lecture,combination_partner,medium,Combine AP1 inhibition with DNA damage response agents to exploit the early stress‑responsive state of heterozygous cells.,Speaker noted that AP1 is a stress‑responsive factor induced by oncogenic stress from BRCA1/p53 loss.,CrisPRO can simulate synergistic effects of AP1 blockade with PARP inhibitors in BRCA1‑deficient contexts.
aacr-gha-clowes-award-for-outstanding-basic-cancer-research::unknown::1,Andrew P. Feinberg,Johns Hopkins University,aacr-gha-clowes-award-for-outstanding-basic-cancer-research,resistance_mechanism_addressable,high,KLF5‑driven epigenetic remodeling appears to enable pancreatic cancer metastasis; targeting this pathway could block metastatic outgrowth.,Speaker described that knockdown of KLF5 restores heterochromatin and inhibits growth of metastasis‑derived xenografts.,CrisPRO can model the transcription‑factor‑mediated chromatin network to predict combinatorial inhibitors that suppress KLF5‑driven programs.
aacr-gha-clowes-award-for-outstanding-basic-cancer-research::unknown::1,Andrew P. Feinberg,Johns Hopkins University,aacr-gha-clowes-award-for-outstanding-basic-cancer-research,biomarker_stratification_gap,medium,Lack of a clinical assay to identify tumors with high KLF5 expression or epigenetic entropy for patient selection.,Speaker noted KLF5 is highly expressed in distant metastases and correlates with poor survival in TCGA data.,Use CrisPRO to derive a gene‑expression entropy signature linked to KLF5 activity for companion diagnostic development.
aacr-irving-weinstein-foundation-distinguished-lectureship::unknown::1,Dennis Lo,Chinese University of Hong Kong,aacr-irving-weinstein-foundation-distinguished-lectureship,biomarker_stratification_gap,high,"Current clinical assays ignore 3' end fragmentomic signatures, which could improve specificity for tumor‑derived cfDNA","Speaker said: ""the 3' end is unexplored"" and described development of EM3 and POEM markers","CrisPRO can integrate 5' and 3' end motif data into a unified predictive model, leveraging its computational spine to capture higher‑dimensional fragmentomic patterns"
aacr-irving-weinstein-foundation-distinguished-lectureship::unknown::1,Dennis Lo,Chinese University of Hong Kong,aacr-irving-weinstein-foundation-distinguished-lectureship,combination_partner,medium,Partner with companies developing high‑throughput long‑read sequencing to overcome PacBio throughput limits,Speaker noted the limitation of PacBio throughput and ongoing work on an Illumina‑based version,"CrisPRO’s scalable cloud‑based analytics can process Illumina short‑read data enriched for fragmentomic features, enabling rapid commercialization"
aacr-irving-weinstein-foundation-distinguished-lectureship::unknown::1,Dennis Lo,Chinese University of Hong Kong,aacr-irving-weinstein-foundation-distinguished-lectureship,failed_asset_salvage,medium,Re‑engineer the early NIPT assay that failed due to single‑gene focus by adding genome‑wide counting and fragmentomics,Speaker described the early failure of a single‑gene PCR assay for trisomy 21 and later success with genome‑wide sequencing,"CrisPRO can redesign the assay pipeline to incorporate size‑based and methylation‑based stratification, creating a differentiated NIPT product"
aacr-irving-weinstein-foundation-distinguished-lectureship::unknown::1,Dennis Lo,Chinese University of Hong Kong,aacr-irving-weinstein-foundation-distinguished-lectureship,trial_design_improvement,high,Incorporate serial ctDNA sampling and dynamic resistance tracking into future multi‑cancer screening trials,Speaker discussed lack of dynamic monitoring in current trials and the importance of radiotherapy‑induced ctDNA changes,"CrisPRO can provide real‑time analytics for on‑treatment ctDNA kinetics, supporting adaptive trial designs"
aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-::unknown::1,Dr. David Rim,Yale School of Medicine,AACR James S. Ewing–Thelma B. Dunn Award for Outstanding Achievement in Pathology,biomarker_stratification_gap,high,"Lack of a validated quantitative cutoff for HER2‑low ADC eligibility creates a niche for CrisPRO to provide a robust, standardized fluorescence‑based HER2 quantification platform","Speaker said: ""We have two clinical trials ... looking for a cutoff. In preliminary data, it looks like there's not one. Occasionally you see a responder even when they have almost no HER2 at all.""",CrisPRO can generate absolute attomole per mm² values with <10% CV and apply machine‑learned threshold optimization across multi‑institutional datasets to define reproducible HER2‑low cutoffs
aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-::unknown::1,Dr. David Rim,Yale School of Medicine,AACR James S. Ewing–Thelma B. Dunn Award for Outstanding Achievement in Pathology,resistance_mechanism_addressable,medium,"High Trop‑2 expression appears to diminish response to HER2‑targeted ADCs, suggesting a combinatorial resistance mechanism that CrisPRO could model and predict","Speaker said: ""If patients have high Trop‑2 in that same cohort that are given T‑DXd, you do poorly. ... probably you shouldn't give them T‑DXd.""","Integrate quantitative HER2 and Trop‑2 data to predict antagonistic biomarker patterns and recommend alternative ADCs (e.g., SG) via a decision‑support algorithm"
