talk_id,speaker_name,affiliation,session_title,tumor_types,clinical_stage,metric,value,confidence_interval,n,population,comparator,maturity
aacr-award-for-outstanding-achievement-in-blood-cancer-research::dipersio::1,Dr. John F. DiPersio,"Washington University School of Medicine, St. Louis, Director of the Section of Cellular Therapy and the Center for Gene and Cellular Immunotherapy",aacr-award-for-outstanding-achievement-in-blood-cancer-research,T-cell acute lymphoblastic leukemia; peripheral T-cell lymphoma; acute myeloid leukemia,phase_1,CR rate,82%,,n=unspecified,"relapsed/refractory T‑cell ALL, Phase I UCART7 cohort",,primary_endpoint_met
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::loupiain::1,Matthew Loupiain,"University of California, San Diego, Department of Medicine",aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,prostate cancer,unspecified,overall_survival,significantly shorter in LINE1+ subgroup,,n=71,LINE1+ mCRPC patients treated with AR selective inhibitors,"other subgroups (SETL, SINE1+, constant)",interim
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::ji::3,Hongjun Ji,"University of Texas Southwestern, Department of Oncology",aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,NSCLC,phase_2,treatment_duration,shorter in patients with high squamous signature,,n=7 adenocarcinoma samples,LKB1‑mutant lung adenocarcinoma patients,,interim
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::ji::3,Hongjun Ji,"University of Texas Southwestern, Department of Oncology",aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,NSCLC,phase_2,overall_survival,worse in high KLK6A expressors,,independent cohort (size not specified),LKB1‑mutant lung cancer,,interim
aacr-irving-weinstein-foundation-distinguished-lectureship::lo::1,Dennis Lo,"Vice Chancellor and President, The Chinese University of Hong Kong; Li Ka Shing Professor of Medicine, Department of Chemical Pathology",aacr-irving-weinstein-foundation-distinguished-lectureship,nasopharyngeal cancer; hepatocellular carcinoma; pan-cancer,mixed,NIPT accuracy,>99%,,n=~2000 pregnancies,"all‑comers, gestational age 10‑12 weeks",,primary_endpoint_met
aacr-irving-weinstein-foundation-distinguished-lectureship::lo::1,Dennis Lo,"Vice Chancellor and President, The Chinese University of Hong Kong; Li Ka Shing Professor of Medicine, Department of Chemical Pathology",aacr-irving-weinstein-foundation-distinguished-lectureship,nasopharyngeal cancer; hepatocellular carcinoma; pan-cancer,mixed,NPC mortality,3% vs 40%,,n=34 screen‑detected cases,screened high‑risk males 40‑60 y,historical unscreened cohort,primary_endpoint_met
aacr-irving-weinstein-foundation-distinguished-lectureship::lo::1,Dennis Lo,"Vice Chancellor and President, The Chinese University of Hong Kong; Li Ka Shing Professor of Medicine, Department of Chemical Pathology",aacr-irving-weinstein-foundation-distinguished-lectureship,nasopharyngeal cancer; hepatocellular carcinoma; pan-cancer,mixed,Stage shift in NPC screening,70% stage I‑II vs 20% stage III‑IV,,n=34 screen‑detected cases,screened high‑risk cohort,unscreened historical distribution,secondary_endpoint
aacr-irving-weinstein-foundation-distinguished-lectureship::lo::1,Dennis Lo,"Vice Chancellor and President, The Chinese University of Hong Kong; Li Ka Shing Professor of Medicine, Department of Chemical Pathology",aacr-irving-weinstein-foundation-distinguished-lectureship,nasopharyngeal cancer; hepatocellular carcinoma; pan-cancer,mixed,Liver cancer detection AUC (fragmentomics panel),0.92,,"n=200 cases, 200 controls",HCC patients,,exploratory
aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-::rim::1,David Rim,"Yale School of Medicine, Department of Pathology and Medicine, Director of Yale Cancer Center Tissue Microarray Facility",aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-,breast cancer; melanoma; lung cancer; bladder cancer,mixed,Coefficient of variation (inter‑ and intra‑assay),<10%,,n=316,prospective Yale breast cancer cohort,,primary_endpoint_met
aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-::rim::1,David Rim,"Yale School of Medicine, Department of Pathology and Medicine, Director of Yale Cancer Center Tissue Microarray Facility",aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-,breast cancer; melanoma; lung cancer; bladder cancer,mixed,Hazard ratio per 50‑unit increase in HER2 attomoles,HR 0.70,95% CI 0.55‑0.89,n=51,metastatic breast cancer treated with T‑DXd,,secondary_endpoint
aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-::rim::1,David Rim,"Yale School of Medicine, Department of Pathology and Medicine, Director of Yale Cancer Center Tissue Microarray Facility",aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-,breast cancer; melanoma; lung cancer; bladder cancer,mixed,Median overall survival (high HER2 group),12.8 months,,n=65,high HER2 quantification group,low HER2 group,secondary_endpoint
aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-::rim::1,David Rim,"Yale School of Medicine, Department of Pathology and Medicine, Director of Yale Cancer Center Tissue Microarray Facility",aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-,breast cancer; melanoma; lung cancer; bladder cancer,mixed,Median overall survival (low HER2 group),7.5 months,,n=65,low HER2 quantification group,high HER2 group,secondary_endpoint
aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-::rim::1,David Rim,"Yale School of Medicine, Department of Pathology and Medicine, Director of Yale Cancer Center Tissue Microarray Facility",aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-,breast cancer; melanoma; lung cancer; bladder cancer,mixed,Response difference by Trop‑2 quartile (T‑DXd),Top quartile median OS 6.2 mo vs bottom quartile 13.9 mo,,n=150,metastatic breast cancer treated with T‑DXd,,exploratory
aacr-jca-joint-session-lung-cancer-in-never-smokers::piccolo::2,Jacqueline Lo Piccolo,Dana-Farber Cancer Institute,aacr-jca-joint-session-lung-cancer-in-never-smokers,lung adenocarcinoma; small cell lung cancer,mixed,ORR to platinum + PARP inhibitor in BRCA2 germline carrier,"durable response >4 y to platinum, 16 m on PARP inhibitor",,1 patient,stage IV BRCA2 germline mutant lung cancer,,interim
aacr-jca-joint-session-lung-cancer-in-never-smokers::lee::3,Seung Lee,"Samsung Medical Center, Republic of Korea",aacr-jca-joint-session-lung-cancer-in-never-smokers,lung adenocarcinoma; lung squamous carcinoma,mixed,EGFR TKI hazard ratio (never smoker vs smoker),0.7,,large retrospective cohort,EGFR‑mutant NSCLC,placebo/standard chemo,interim
aacr-jca-joint-session-lung-cancer-in-never-smokers::lee::3,Seung Lee,"Samsung Medical Center, Republic of Korea",aacr-jca-joint-session-lung-cancer-in-never-smokers,lung adenocarcinoma; lung squamous carcinoma,mixed,"ICI ORR (never smoker, PD‑L1 high)",≈10%,,≈500 never smokers,PD‑L1 high NSCLC,,interim
aacr-jca-joint-session-lung-cancer-in-never-smokers::lee::3,Seung Lee,"Samsung Medical Center, Republic of Korea",aacr-jca-joint-session-lung-cancer-in-never-smokers,lung adenocarcinoma; lung squamous carcinoma,mixed,ICI + chemo ORR (never smoker),≈20%,,≈500 never smokers,advanced NSCLC,chemo alone,interim
aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res::jr.::1,Luis A. Diaz Jr.,"Memorial Sloan Kettering Cancer Center, Solid Tumor Oncology Division",aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res,colorectal cancer; endometrial cancer; gastric cancer; cholangiocarcinoma; pancreatic ductal adenocarcinoma; small intestine cancer; glioma; urothelial cancer; prostate cancer; rectal cancer,mixed,clinical complete response (cCR) in rectal cohort,100%,,n=49,MMR‑deficient locally advanced rectal cancer,,primary_endpoint_met
aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res::jr.::1,Luis A. Diaz Jr.,"Memorial Sloan Kettering Cancer Center, Solid Tumor Oncology Division",aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res,colorectal cancer; endometrial cancer; gastric cancer; cholangiocarcinoma; pancreatic ductal adenocarcinoma; small intestine cancer; glioma; urothelial cancer; prostate cancer; rectal cancer,mixed,recurrence‑free survival at 2 years (rectal cohort),96 patients,,n=49,cCR rectal patients managed non‑operatively,,secondary_endpoint
aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res::jr.::1,Luis A. Diaz Jr.,"Memorial Sloan Kettering Cancer Center, Solid Tumor Oncology Division",aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res,colorectal cancer; endometrial cancer; gastric cancer; cholangiocarcinoma; pancreatic ductal adenocarcinoma; small intestine cancer; glioma; urothelial cancer; prostate cancer; rectal cancer,mixed,overall recurrence‑free rate at 2 years (all non‑rectal cohort),85%,,n=54,MMR‑deficient non‑rectal solid tumors treated with pembrolizumab,,secondary_endpoint
aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res::jr.::1,Luis A. Diaz Jr.,"Memorial Sloan Kettering Cancer Center, Solid Tumor Oncology Division",aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res,colorectal cancer; endometrial cancer; gastric cancer; cholangiocarcinoma; pancreatic ductal adenocarcinoma; small intestine cancer; glioma; urothelial cancer; prostate cancer; rectal cancer,mixed,ctDNA‑positive patients receiving pembrolizumab vs observation,comparable recurrence‑free outcomes,,n=25 (treated) vs n=125 (observation),"MMR‑deficient solid tumors, ctDNA‑positive after standard therapy",observation only,interim
aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res::jr.::1,Luis A. Diaz Jr.,"Memorial Sloan Kettering Cancer Center, Solid Tumor Oncology Division",aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res,colorectal cancer; endometrial cancer; gastric cancer; cholangiocarcinoma; pancreatic ductal adenocarcinoma; small intestine cancer; glioma; urothelial cancer; prostate cancer; rectal cancer,mixed,adverse event rate (any grade) in non‑rectal cohort,35%,,n=54,MMR‑deficient non‑rectal solid tumors receiving pembrolizumab,,secondary_endpoint
aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res::jr.::1,Luis A. Diaz Jr.,"Memorial Sloan Kettering Cancer Center, Solid Tumor Oncology Division",aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res,colorectal cancer; endometrial cancer; gastric cancer; cholangiocarcinoma; pancreatic ductal adenocarcinoma; small intestine cancer; glioma; urothelial cancer; prostate cancer; rectal cancer,mixed,cancer incidence reduction in Lynch syndrome patients receiving PD‑1 blockade,>80% reduction,,n=172 treated vs n=665 untreated,Lynch syndrome carriers with prior cancer,no checkpoint therapy,exploratory
aacr-minorities-in-cancer-research-jane-cooke-wright-lectureship::jemal::1,Dr. Ahmedin Jemal,"Senior Vice President of Surveillance, Prevention, and Health Services Research, American Cancer Society, Atlanta, GA",aacr-minorities-in-cancer-research-jane-cooke-wright-lectureship,lung cancer; colorectal cancer; breast cancer; melanoma; pan-cancer,unspecified,five_year_survival_rate,70%,,,US cancer patients overall (2023 Cancer Stats article),,interim
aacr-st-baldricks-foundation-award-for-outstanding-achievement-in-pediatric-canc::stegmaier::1,Dr. Kimberly Stegmaier,"Department of Pediatric Oncology, Dana-Farber Cancer Institute",aacr-st-baldricks-foundation-award-for-outstanding-achievement-in-pediatric-canc,acute lymphoblastic leukemia; Ewing sarcoma; neuroblastoma; pediatric solid tumors; brain tumors,mixed,Complete remission,CR,,n=1,10‑year‑old B‑ALL patient with RCST1‑ABL2 fusion,,interim
academic-entrepreneurship-getting-your-discovery-to-patients-part-1-liftoff::caligiuri::4,Mike Caligiuri,City of Hope,"Academic Entrepreneurship and Getting Discoveries into Patients, part one",CLL; leukemia,approved,fundraising,$350 million,,not specified,cancer research funding,,updated
academic-entrepreneurship-getting-your-discovery-to-patients-part-2-preparing-fo::spira::2,Avi Spira,"Former Pulmonary & Critical Care Physician‑Scientist, Boston University Medical Center; Former R&D Lead, Johnson & Johnson",academic-entrepreneurship-getting-your-discovery-to-patients-part-2-preparing-fo,lung cancer,unspecified,clinical trial publications,2 trials published in NEJM 2015,,n=unspecified,patients with indeterminate pulmonary nodules,,secondary_endpoint
academic-entrepreneurship-getting-your-discovery-to-patients-part-2-preparing-fo::henrichs::3,Christian Henrichs,"Professor of Medicine, Rutgers Cancer Institute",academic-entrepreneurship-getting-your-discovery-to-patients-part-2-preparing-fo,HPV-associated cancers,phase_1,objective response rate,58%,,n=unspecified,HPV‑positive cancer patients,,secondary_endpoint
academic-entrepreneurship-getting-your-discovery-to-patients-part-2-preparing-fo::henrichs::3,Christian Henrichs,"Professor of Medicine, Rutgers Cancer Institute",academic-entrepreneurship-getting-your-discovery-to-patients-part-2-preparing-fo,HPV-associated cancers,phase_1,duration of response,not reached,,n=unspecified,responders,,interim
addressing-cancer-mortality-in-areas-of-persistent-poverty::wetter::1,David Wetter,"University of Utah, Huntsman Cancer Institute",addressing-cancer-mortality-in-areas-of-persistent-poverty,,phase_2,enrollment_target,"12,000",,"n=12,000",tobacco-using patients at 10 CHCs,,interim
addressing-cancer-mortality-in-areas-of-persistent-poverty::wetter::1,David Wetter,"University of Utah, Huntsman Cancer Institute",addressing-cancer-mortality-in-areas-of-persistent-poverty,,phase_2,COVID trial enrollment,"107,000",,"n=107,000",patients across Utah CHCs during pandemic,,interim
addressing-cancer-mortality-in-areas-of-persistent-poverty::wetter::1,David Wetter,"University of Utah, Huntsman Cancer Institute",addressing-cancer-mortality-in-areas-of-persistent-poverty,,phase_2,second COVID at-home test trial enrollment,"33,000",,"n=33,000",Utah CHC patients,,interim
addressing-cancer-mortality-in-areas-of-persistent-poverty::wetter::1,David Wetter,"University of Utah, Huntsman Cancer Institute",addressing-cancer-mortality-in-areas-of-persistent-poverty,,phase_2,colorectal cancer screening rate increase,36% to 43%,,n=not specified,CHC patients receiving CDC-funded screening program,,interim
addressing-cancer-mortality-in-areas-of-persistent-poverty::tamimi::2,Rula Tamimi,"Weill Cornell Medicine, New York City",addressing-cancer-mortality-in-areas-of-persistent-poverty,colorectal cancer,phase_2,Cares For You student reach,288,,n=288,middle‑school students in NYC,,interim
