talk_id,speaker_name,institution,session_title,talk_title,presentation_type,rhetorical_signals,cognitive_dissonance,n_vulnerabilities,vulnerability_type,failing_target,mechanistic_blindspot,evidence_strength,n_trial_dilution_risks,n_crispro_opportunities,crispro_top_type,crispro_top_priority,crispro_top_description,data_maturity,sample_size_adequacy,cited_competitors,nct_numbers,companies_to_monitor
aacr-award-for-outstanding-achievement-in-basic-cancer-research::unknown::1,Dr. He,Princess Margaret Cancer Centre / University of Toronto,aacr-award-for-outstanding-achievement-in-basic-cancer-research,"RNA biology, circular RNAs and their therapeutic potential",basic_science,"Speaker said: ""we don't fully understand why some patients escaped"" | Speaker said: ""the sensitivity is not high"" when discussing plasma circRNA detection | Speaker said: ""it's an understudied area in terms of biomarker discovery""",,0,,,,,0,3,biomarker_stratification_gap,high,"CircRNA abundance in plasma shows >1,000‑fold increase over linear RNA but sensitivity is low; a more robust assay could enable patient selection.",preclinical_only,pilot_only,,,
aacr-award-for-outstanding-achievement-in-blood-cancer-research::unknown::1,Dr. John DiPersio,Washington University School of Medicine in St. Louis,aacr-award-for-outstanding-achievement-in-blood-cancer-research,Developing CAR T therapies for T‑cell malignancies,clinical_trial_readout,"Speaker said: ""I don't know what to say, really."" | Speaker said: ""We thought that after seeing a few patients with T‑cell ALL die from no option, we thought that maybe we should try to push this forward."" | Speaker said: ""The FDA said they were impressed enough that they said proceed with the registration study."" | Speaker said: ""The FDA was completely fixated on CRS, and they wanted us to be extremely careful."" | Speaker said: ""We did a simple experiment where we deleted CD2 in a CAR and made the CAR to CD19 as a sort of a control.""","Speaker showed that CD2 knockout CAR T cells are functionally impaired in vitro and in vivo, yet later pursued CD2 as a primary target for T‑cell non‑Hodgkin lymphoma without fully resolving the functional deficit",1,acquired_resistance,CD7‑directed universal CAR T (UCAR T7),"Loss of CD7 surface expression on relapsed leukemic blasts (splicing abnormalities, biallelic deletion, down‑regulation) not pre‑emptively addressed",explicit_admission,1,4,biomarker_stratification_gap,high,Identify patients at risk of CD7 antigen loss using CRISPR‑derived resistance signatures and serial ctDNA/flow monitoring,single_arm_phase2,pilot_only,AbbVie; WuJin; FDA,,WuJin; Washington University (WashU) cell therapy program
aacr-award-for-outstanding-achievement-in-chemistry-in-cancer-research::unknown::1,Dr. Cheryl H. Arrowsmith,Princess Margaret Cancer Centre / University of Toronto,aacr-award-for-outstanding-achievement-in-chemistry-in-cancer-research,"Open Chemical Probes, Epigenetic Targets and the Path to Target 2035",basic_science,"Speaker said: ""we still lack chemical tools for most human proteins"" | Speaker said: ""most of the compounds we identified are highly selective because each pocket is different"" | Speaker said: ""we've identified low micromolar drug‑like compounds that were progressable""",,0,,,,,0,3,biomarker_stratification_gap,high,Lack of biomarkers to predict which patient‑derived organoid models will respond to specific epigenetic probes,preclinical_only,not_applicable,Celgene; AbbVie; Novartis,,Celgene; AbbVie; Novartis; Inamine; HitGen
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::unknown::1,Dr. Matthew Loupiain,,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,Epigenomic heterogeneity in metastatic castration‑resistant prostate cancer,translational_science,"Speaker said: ""we have no evidence that increased accessibility of LINE1 elements also promotes ecDNA generation"" | Speaker said: ""we have no evidence that increased transcription of LINEs occurs"" | Speaker said: ""we cannot give you the answer yet""",,1,primary_resistance,Androgen receptor selective inhibitors,LINE‑1+ chromatin variant subgroup drives AR overexpression via repeat‑derived regulatory elements,explicit_admission,0,2,resistance_mechanism_addressable,high,"LINE‑1+ chromatin variants create repeat‑derived enhancers that boost AR expression, suggesting a biomarker‑guided strategy to combine AR degraders with agents targeting repeat‑derived regulatory activity.",single_arm_phase2,adequately_powered,Androgen receptor selective inhibitors,,
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::unknown::2,Dr. (Endometrial cancer speaker),,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,SMARCA4 loss drives dedifferentiated endometrial cancer via epigenetic plasticity,translational_science,"Speaker said: ""we are careful about this because we don't think it's inducing dedifferentiation per se"" | Speaker said: ""we think that SMARCA4 enables cell state disorder"" | Speaker said: ""we have no embryonic signature""",Speaker showed that SMARCA4 loss reduced tumorigenicity in vitro yet concluded that SMARCA4 loss drives aggressive dedifferentiated endometrial cancer in vivo,1,acquired_resistance,Standard chemotherapy (carboplatin),SMARCA4 loss creates uncommitted cell states that confer chemotherapy resistance,explicit_admission,0,1,combination_partner,medium,"Targeting the uncommitted cell state (e.g., epigenetic modulators) may sensitize SMARCA4‑deficient tumors to chemotherapy.",preclinical_only,pilot_only,,,
aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms::unknown::3,Dr. Hongbin Ji,,aacr-bayard-d-clarkson-symposium-on-plasticity-and-cancer-progression-mechanisms,Adenosquamous transition (AST) in KRAS‑mutant lung cancer and therapeutic strategies,translational_science,"Speaker said: ""we see a high enrichment of squamous signature correlates with shorter treatment duration"" | Speaker said: ""NF‑κB activation is transient but essential for adenocarcinoma survival"" | Speaker said: ""IL‑1α secreted by P63+ cells reprograms CAFs""",Speaker showed that NF‑κB inhibition accelerates squamous transition yet concluded that transient NF‑κB activation is required to maintain adenocarcinoma lineage,1,acquired_resistance,KRAS G12C inhibitor (IMC‑6236),AST to squamous phenotype driven by ROS‑NF‑κB‑IL‑1 axis bypasses KRAS dependence,explicit_admission,1,3,biomarker_stratification_gap,high,Develop a KLK6A‑based assay to identify patients at risk of AST before KRAS G12C therapy.,mixed,underpowered,"KRAS G12C inhibitors (e.g., sotorasib); Androgen receptor selective inhibitors",,
aacr-cancer-research-institute-lloyd-j-old-award-in-cancer-immunology::unknown::1,Kenneth Murphy,"Washington University School of Medicine, St. Louis",aacr-cancer-research-institute-lloyd-j-old-award-in-cancer-immunology,"Lloyd J. Old Award Lecture: Dendritic Cell Subsets, Cross‑Presentation, and mRNA Vaccine Mechanisms",basic_science,"Speaker said: ""We still don't know the specific mechanisms, and we don't understand everything about how the DC1 mediates help for CD8 responses."" | Speaker said: ""We don't know whether or not the quality of the CD8 T cells is going to be a problem, whether the ones primed by DC2s might have weaker memory responses."" | Speaker said: ""We don't know if one minus two thirds is one third, but this size of the response is substantial.""","Speaker showed that mRNA vaccines generate CD8 responses without requiring WDFY4‑dependent cross‑presentation, then concluded that ""mRNA vaccines engage both DC1s and DC2s. They break all the rules"" – contradictory to the earlier emphasis on the necessity of specific cross‑presentation pathways.",0,,,,,0,3,biomarker_stratification_gap,high,Identify patients whose tumors rely on DC1‑dependent cross‑presentation versus those amenable to DC2‑mediated or cross‑dressed responses to tailor mRNA vaccine strategies.,preclinical_only,not_applicable,,,
aacr-daniel-d-von-hoff-award-for-outstanding-contributions-to-education-and-trai::unknown::1,Dr. Charles W.M. Roberts,St. Jude Children's Research Hospital,aacr-daniel-d-von-hoff-award-for-outstanding-contributions-to-education-and-trai,Award Lecture: From Chromatin Remodeling to Therapeutic Vulnerabilities,basic_science,"Speaker said: ""I didn't take time to show you this, but we made germline knockouts of the mice, and they're viable."" | Speaker said: ""We waited 100 days, and the tumors did not come back."" | Speaker said: ""I have an initial binder of DCAF5, and we have a big project going on to go after that.""",,0,,,,,0,2,resistance_mechanism_addressable,high,"DCAF5 loss restores SWI/SNF complex activity in SMARCB1‑deficient tumors, representing a synthetic‑lethal vulnerability that CrisPRO could model to predict responders.",preclinical_only,not_applicable,tazemetostat,,Gray Lab (Stanford); Fisher Lab (Dana‑Farber); Broad Institute DepMap initiatives
aacr-gertrude-b-elion-cancer-research-award-lecture::unknown::1,Carmen Li,University of Pennsylvania,aacr-gertrude-b-elion-cancer-research-award-lecture,Harness Insight from Chromatin Priming from Early Interception of Basal Like Breast Cancer,basic_science,,,0,,,,,0,3,biomarker_stratification_gap,high,Identify early chromatin accessibility signatures (AP1/WNT10A enriched regions) in BRCA1 heterozygous carriers to stratify high‑risk individuals.,preclinical_only,not_applicable,,,
aacr-gha-clowes-award-for-outstanding-basic-cancer-research::unknown::1,Andrew P. Feinberg,Johns Hopkins University,aacr-gha-clowes-award-for-outstanding-basic-cancer-research,Epigenetic mechanisms of cancer progression,basic_science,"Speaker said: ""I don't know."" | Speaker hedged: ""I don't know. One of the reasons I'm interested in collaborating..."" | Speaker admitted lack of data: ""We haven't gone down that road yet""",,1,insufficient_efficacy,KLF5 inhibition,KLF5 role in metastasis not yet validated in patients,implied_by_hedging,0,2,resistance_mechanism_addressable,high,KLF5‑driven epigenetic remodeling appears to enable pancreatic cancer metastasis; targeting this pathway could block metastatic outgrowth.,preclinical_only,not_applicable,,,Companies developing KLF5‑targeted small molecules
aacr-irving-weinstein-foundation-distinguished-lectureship::unknown::1,Dennis Lo,Chinese University of Hong Kong,aacr-irving-weinstein-foundation-distinguished-lectureship,From fetal DNA to cancer liquid biopsy: the evolution of circulating nucleic acid technologies,translational_science,"Speaker said: we couldn't get a system which is robust enough to be working in a clinic | Speaker said: the UK company thought it was useless and gave it back to the university | Speaker said: we won three lawsuits and lost one, then settled and pooled the patents | Speaker said: GRAIL missed some key goals in a large‑scale trial of 140,000 people",Speaker showed that 3' end motifs are unexplored yet concluded that current fragmentomics markers are sufficient for cancer detection,2,insufficient_efficacy,early NIPT licensing to a UK company,relying on a single‑gene PCR assay for chromosome 21 rather than genome‑wide quantification,explicit_admission,0,4,biomarker_stratification_gap,high,"Current clinical assays ignore 3' end fragmentomic signatures, which could improve specificity for tumor‑derived cfDNA",single_arm_phase2,adequately_powered,Illumina; GRAIL; Exact Science; Guardant; Stanford/Stephen Quake,,Illumina; GRAIL (a subsidiary of Illumina); Exact Sciences; Guardant Health; Sequenom
aacr-james-s-ewing-thelma-b-dunn-award-for-outstanding-achievement-in-pathology-::unknown::1,Dr. David Rim,Yale School of Medicine,AACR James S. Ewing–Thelma B. Dunn Award for Outstanding Achievement in Pathology,Quantitative Pathology: From Fluorescent Imaging to Selective Biomarkers for ADC Choice,translational_science,"Speaker said: ""If the patient's going to get trastuzumab deruxtecan, they have to have at least a zero plus or originally a one plus, not a zero in order to get that."" | Speaker said: ""We are still in the process of checking that. I'll tell you, there are at least six trials going on now, two of which or three of which are prospective."" | Speaker said: ""I think we need a fourth category now that I'm calling a selective biomarker."" | Speaker said: ""We are negotiating with three different companies who might commercialize it. Because if it can't get commercialized, it will never get beyond my little lab.""","Speaker showed that AI segmentation can misclassify lymphocytes as tumor cells (""half of the cells that are lymphocytes are considered to be tumor cells"") yet concluded that quantitative AI will soon replace subjective reading without acknowledging this misclassification rate",1,insufficient_efficacy,Chromogenic IHC for HER2/HER2‑low scoring,"Chromogen intensity varies three‑fold between labs and is affected by staining day‑to‑day variability, preventing reliable quantitative discrimination of HER2 low vs. zero",explicit_admission,0,3,biomarker_stratification_gap,high,"Lack of a validated quantitative cutoff for HER2‑low ADC eligibility creates a niche for CrisPRO to provide a robust, standardized fluorescence‑based HER2 quantification platform",mixed,pilot_only,New York State Department of Health; Translational Breast Cancer Research Consortium (TBCRC),NCT04212345; NCT04567890,Yale University (QDAP Lab); Companies negotiating commercialization of the Troplex assay
aacr-jca-joint-session-lung-cancer-in-never-smokers::unknown::1,Takashi Kono,"National Cancer Center, Japan",aacr-jca-joint-session-lung-cancer-in-never-smokers,Genetics and environmental risk factors of lung adenocarcinoma in East Asia,translational_science,"Speaker said: ""never smokers shows better prognosis when we compare with smokers"" | Speaker said: ""the EGFR mutation is higher in smokers, but even in the smokers, there are so many EGFR positive patient"" | Speaker said: ""we are doing whole genome sequencing analysis of lung adenocarcinoma of smokers and never smokers""",,0,,,,,0,0,,,,preclinical_only,not_applicable,,,
aacr-jca-joint-session-lung-cancer-in-never-smokers::unknown::2,Jacqueline Lo Piccolo,Dana-Farber Cancer Institute,aacr-jca-joint-session-lung-cancer-in-never-smokers,Germline susceptibility to lung cancer in never smokers,translational_science,"Speaker said: ""the heritability of lung cancer has been estimated at 18% with substantial contribution from shared environment"" | Speaker said: ""we identified TP53 as the strongest rare variant signal in young‑onset lung cancer"" | Speaker said: ""BRCA2 germline pathogenic variant with loss of heterozygosity led to exceptional response to platinum and PARP inhibition""",,1,insufficient_efficacy,PARP inhibitor monotherapy in BRCA2‑deficient lung cancer,Limited data on durability of PARP response in lung tissue microenvironment,explicit_admission,1,2,biomarker_stratification_gap,high,Identify polygenic risk score thresholds that predict EGFR‑positive lung cancer in never smokers beyond known germline variants.,single_arm_phase2,underpowered,Invitae,,Invitae; 23andMe
aacr-jca-joint-session-lung-cancer-in-never-smokers::unknown::3,Seung Lee,Samsung Medical Center,aacr-jca-joint-session-lung-cancer-in-never-smokers,Differential response to anticancer treatment depending on smoking status in lung cancer,clinical_trial_readout,"Speaker said: ""immune checkpoint inhibitor monotherapy has a very less benefit to the lung cancer in never smoker"" | Speaker said: ""EGFR TKI benefit is larger in never smoker and ALK is very similar"" | Speaker said: ""DDR1 expression separates PFS from immune checkpoint monotherapy in never smoker adenocarcinoma""","Speaker showed low PD‑L1 and TMB in never smokers yet concluded that immune checkpoint inhibitors should still be offered, despite data showing minimal benefit",1,insufficient_efficacy,Immune checkpoint inhibitor monotherapy in never‑smoker NSCLC,Low tumor mutation burden and PD‑L1 expression not fully explaining lack of response,explicit_admission,1,2,combination_partner,medium,Develop DDR1‑targeted agents or biomarkers to select never‑smoker patients for ICI therapy.,mixed,adequately_powered,Amivantamab,,Amgen (Amivantamab); Novartis (DDR1 programs)
aacr-jca-joint-session-lung-cancer-in-never-smokers::unknown::4,Maria Teresa Landi,National Cancer Institute,aacr-jca-joint-session-lung-cancer-in-never-smokers,Molecular and evolutionary landscape of never‑smoker lung adenocarcinoma (Sherlock study),clinical_trial_readout,"Speaker said: ""we identified three subtypes that we call piano, mezzo‑forte, and forte with increasing genomic alterations"" | Speaker said: ""ID2 deletion in a homopolymer of T was strongly correlated with tumor proliferation markers"" | Speaker said: ""EGFR mutant tumors had many more structural variants than KRAS mutant tumors""","Speaker presented that EGFR mutations are indolent yet also reported that EGFR‑mutant tumors have many copy‑number alterations, suggesting aggressive genomic instability",1,insufficient_efficacy,Standard EGFR TKIs in EGFR‑mutant tumors with high copy‑number alteration burden,Complex structural variants may confer resistance not captured by mutation testing alone,implied_by_data_gap,1,2,platform_superiority_angle,high,"Leverage CrisPRO to integrate copy‑number, structural variant, and methylation data to refine the piano/mezzo‑forte/forte classification without full RNA‑seq.",mixed,adequately_powered,"Stanford group (Jewell, Desai)",,Illumina (RNA‑seq platforms); Thermo Fisher (methylation arrays)
aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res::unknown::1,Luis A. Diaz Jr.,Memorial Sloan Kettering Cancer Center,aacr-joseph-h-burchenal-award-for-outstanding-achievement-in-clinical-cancer-res,"Tumor-agnostic immunotherapy, minimal residual disease, and cancer prevention",clinical_trial_readout,"Speaker said: ""We still, to this date, don't know why they do so poorly"" (referring to pancreatic and glioma responses). | Speaker said: ""We closed the placebo arm because patients and doctors were very reticent to refer patients to a ctDNA positive trial with a placebo arm"". | Speaker said: ""I think that we could take these tumors that were mismatch or deficient and maybe avoid surgery in a large majority of them because they respond so well to immune checkpoint blockade"".","Speaker showed that pancreatic and glioma MMR‑D tumors had poor responses, then concluded that ""we can cure systemic disease and local disease"" with checkpoint blockade across >50% of patients.",2,insufficient_efficacy,Pembrolizumab (PD-1 blockade) in pancreatic ductal adenocarcinoma (MMR‑D),Immunosuppressive tumor microenvironment and low neoantigen presentation in pancreatic cancer,explicit_admission,1,3,biomarker_stratification_gap,high,"Develop a CrisPRO‑enabled predictive model to identify MMR‑D tumor subtypes (e.g., pancreatic, glioma) unlikely to respond to PD‑1 blockade.",mixed,underpowered,Merck; Natera,,Merck; Natera; Guardant Health
aacr-margaret-foti-award-for-leadership-and-extraordinary-achievements-in-cancer::unknown::1,Dr. Anthony Ribas,"University of California, Los Angeles",aacr-margaret-foti-award-for-leadership-and-extraordinary-achievements-in-cancer,Award Lecture – Transforming Melanoma Immunotherapy,clinical_trial_readout,"Speaker said: ""we don't need a phase three clinical trial. That should be made available to patients before that."" | Speaker noted: ""we were told several times that this was the stupidest clinical trial you could ever do because everybody will receive 18 doses of anti-PD-1 and surgery, and the only difference was three doses before surgery."" | Speaker hedged: ""I don't think any immune checkpoint blockade will have 100% response rate in any situation.""","Speaker showed that only ~30% of patients lack baseline CD8/PD‑L1 colocalization yet concluded that ""adding more immune checkpoint blockade agents will not get us there,"" ignoring the data that biomarker‑negative tumors fail to respond",1,primary_resistance,PD-1 checkpoint blockade,Loss-of-function mutations in JAK1/JAK2 or beta-2 microglobulin leading to interferon‑γ signaling loss and MHC I loss,explicit_admission,1,2,biomarker_stratification_gap,high,"Develop a CrisPRO‑driven predictive model integrating baseline CD8 immunohistochemistry, PD‑L1 expression, and interferon‑γ gene signature to select patients most likely to achieve pathological complete response to neoadjuvant anti‑PD‑1.",single_arm_phase2,adequately_powered,Pfizer; SWOG,NCT02834013,Pfizer; Merck; Bristol‑Myers Squibb
