nct,speaker,institution,session,status,note
NCT03511679,Dr. Delphine Chen,Fred Hutch Cancer Center,Targeted Alpha and Beta Emitting Radiopharmaceuticals: Multidisciplina,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT03553831,Dmitry Zhamarin,Mount Sinai,tumor-immunology-for-non-immunologists-back-to-basics,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT03665718,John Hannon,Netherlands Cancer Institute,innovative-treatment-modalities-shaping-the-future-of-oncology,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04003657,Dr. Meyris,MD Anderson Cancer Center,does-adherence-to-oral-cancer-therapy-matter,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04165772,Dr. Philip Abbash,Fox Chase Cancer Center,advances-in-bladder-cancer-research-and-treatment-pathways-to-precisio,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04200962,Muhannad Abu-Ramalah,Dana-Farber Cancer Institute,biology-mechanisms-and-models-of-cachexia,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04223856,Dr. Matthew Galsky,Icahn School of Medicine at Mount Sinai,advances-in-bladder-cancer-research-and-treatment-pathways-to-precisio,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04501873,Thomas Moran,Mount Sinai,macrophages-as-therapeutic-gatekeepers-from-biology-to-clinical-applic,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04511112,Yilong Wu,Guangdong Lung Cancer Institute,aiming-for-cure-perioperative-clinical-trials,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04512346,Chintan Parmar,AstraZeneca,machine-learning-approaches-for-cancer-diagnosis-and-treatment-predict,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04513822,Dmitry Zhamarin,Mount Sinai,tumor-immunology-for-non-immunologists-back-to-basics,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04513841,Eric (Innate Pharma),Innate Pharma,nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04519470,Martin Pomper,University of Texas Southwestern Medical Center,innovative-treatment-modalities-shaping-the-future-of-oncology,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04521173,Dr. Jaffa Ajani,MD Anderson Cancer Center,gastricgastroesophageal-cancer-dynamics-pre-cancer-evolution-metastasi,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04525484,Dr. Scott Kopetz,University of Texas MD Anderson Cancer Center,targeted-therapy-frontiers-in-microsatellite-stable-metastatic-colorec,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04526899,Dr. Carl H. June,University of Pennsylvania,opening-plenary-precision-partnership-purpose-advancing-cancer-science,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04565772,Dr. Meyris,MD Anderson Cancer Center,does-adherence-to-oral-cancer-therapy-matter,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04565789,Jim Berggren,UT Southwestern,biology-and-therapeutic-targeting-of-hif2a-in-renal-cell-carcinoma,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04572451,Dr. Philip Abbash,Fox Chase Cancer Center,advances-in-bladder-cancer-research-and-treatment-pathways-to-precisio,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04575658,Dr. Jen Woyach,Ohio State University Comprehensive Cancer Center,hematological-malignancies-undruggable-targets-and-new-frontiers,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04576108,Irene Ghobrial,Dana-Farber Cancer Institute,Decoding Tumor Evolution through the Human Tumor Atlas Network,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04576156,Dr. Scott Armstrong,Dana-Farber Cancer Institute,chromatin-epigenetics-and-cancer-dedicated-to-the-memory-of-james-d-wa,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04576186,Bo Zhu,MD Anderson Cancer Center,inflammation-and-immunity-in-cancer-progression,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04585035,Mallika Singh,Revolution Medicines,kras-inhibitors-from-discovery-to-patient-outcomes,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04597411,Dr. Neil Tonk,University of Pennsylvania,Targeted Alpha and Beta Emitting Radiopharmaceuticals: Multidisciplina,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04644268,Eric (Innate Pharma),Innate Pharma,nk-cell-based-cancer-immunotherapy-from-biology-to-the-clinic,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04689828,Dr. Neil Tonk,University of Pennsylvania,Targeted Alpha and Beta Emitting Radiopharmaceuticals: Multidisciplina,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04789123,Maria Bakolopoulou,"CentraleSupélec, University of Paris‑Saclay",dharma-master-jiantai-symposium-in-biomarkers-next-gen-tools-for-adcsd,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT04876532,Raffaele Colombo,Zymeworks,innovative-treatment-modalities-shaping-the-future-of-oncology,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT05204986,Dr. Neil Tonk,University of Pennsylvania,Targeted Alpha and Beta Emitting Radiopharmaceuticals: Multidisciplina,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT05321012,Irene Ghobrial,Dana-Farber Cancer Institute,Decoding Tumor Evolution through the Human Tumor Atlas Network,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT05321045,Constantin Dragnev,Dartmouth Cancer Center,advancing-patient-centered-clinical-trials-bringing-trials-to-patients,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT05498765,Dr. Zach Morris,University of Wisconsin,Targeted Alpha and Beta Emitting Radiopharmaceuticals: Multidisciplina,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT05765432,Dr. Annapragada,Johns Hopkins University,precision-prevention-advances-in-early-detection-and-risk-assessment,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT05876543,Barbara Pistilli,"Gustave Roussy, France",dharma-master-jiantai-symposium-in-biomarkers-next-gen-tools-for-adcsd,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
NCT06098765,Hillary Nicholson,Tango Therapeutics,new-drugs-on-the-horizon-part-1,LLM_EXTRACTED_UNVERIFIED,Verify at clinicaltrials.gov before use
